Year,Comp,Team,Rating,Fifa_ranking,avg_age,Mkt_val,avg_mkt_val,goalie_mkt_val,goalie_age,def_mean_age,def_mkt_val,def_mean_mkt_val,mid_mean_age,mid_mkt_val,mid_mean_mkt_val,att_mean_age,att_mkt_val,att_mean_mkt_val
2014,World Cup,Iran,6.59,43,24.36,26.28,0.597,0.4,27,25.87,8.85,0.59,25.27,7.78,0.707,22,8.35,0.696
2014,World Cup,Portugal,6.54,4,26.98,447.85,7.86,18,27,27.38,116.65,4.86,26.07,120.7,8.62,26.54,174.7,13.44
2014,World Cup,Australia,6.38,62,23.8,32.78,0.656,2,28,23.39,6.6,0.367,24.44,14.2,0.789,22.11,6.83,0.758
2014,World Cup,Cameroon,6.29,56,24.23,158.9,5.3,2,26,23.64,64.2,5.84,26,45.5,7.58,23.67,45.1,5.01
2014,World Cup,Honduras,6.28,33,25.42,17.7,0.369,1.5,36,26,10.35,0.575,25.42,3.8,0.317,23.15,1.25,0.096
2016,Euro,France,7.11,17,25.81,934,21.72,24,30,26.24,247.5,14.56,25.17,328,27.33,24.7,309,30.9
2016,Euro,Germany,7.04,4,23.61,718.5,16.33,45,29,22.67,170.65,14.22,23.63,270.1,16.88,24.08,191.75,15.98
2016,Euro,Belgium,7.03,2,26.92,667.9,18.55,44,25,27.64,132.3,9.45,28,178.1,22.26,25.4,298,29.8
2016,Euro,Poland,6.96,27,26.89,268.75,7.07,17,27,27,43.3,3.09,25,65.15,6.52,27.2,126.3,12.63
2016,Euro,Croatia,6.94,27,24.96,392.85,6.89,5,27,24.91,80.8,3.51,24.05,218.65,11.51,25.33,79.8,8.87
2016,Euro,Wales,6.93,26,25.4,207.4,4.94,4,30,26.33,43.85,3.65,25.42,63.1,5.26,24,92.95,7.15
2016,Euro,Portugal,6.92,8,25.38,404.3,10.11,15,27,26.92,83,6.92,23.45,126.3,11.48,24.5,161.1,16.11
2016,Euro,Switzerland,6.87,15,25.1,214.4,5.5,9,28,24.86,65.25,4.66,25.5,74.75,7.48,25.1,49,4.9
2016,Euro,England,6.85,11,25.79,833,17.72,15,29,26,295,17.35,24.25,215,17.92,26.25,258,21.5
2016,Euro,Italy,6.8,12,26.28,684,12.91,2,39,27.29,204.5,12.03,25.87,194.5,12.97,25.67,233,15.53
2016,Euro,Spain,6.73,6,27.09,1060,23.53,40,26,26.58,269.5,22.46,27.15,430,33.08,27.43,274,19.57
2016,Euro,Slovakia,6.72,24,26,107.13,1.79,1,33,25.38,22.98,1.09,24.89,67.43,3.55,27.31,13.53,1.04
2016,Euro,Iceland,6.68,34,25.98,68.73,1.27,0.6,28,25.88,12.73,0.795,27.67,39.68,2.2,24.07,14.55,1.04
2016,Euro,Hungary,6.62,20,25.92,44.2,0.867,3,27,26.33,11.08,0.738,24.5,14.58,0.81,25.92,13.05,1.09
2016,Euro,Northern Ireland,6.62,25,27.68,48.08,1.3,0.5,32,27.43,18.65,1.33,27.44,18.1,2.01,25.8,10.03,1
2016,Euro,Austria,6.59,10,25.42,183.45,4.08,2.5,27,24.93,80.9,5.78,24.07,62.5,4.46,26.3,34.9,3.49
2016,Euro,Romania,6.58,22,26.7,88.9,1.89,4,31,26.81,25.5,1.59,26.5,21.05,1.75,26.15,30.4,2.34
2016,Euro,Albania,6.56,42,26.21,70.03,1.8,5.5,28,25.64,27.95,2.54,26.42,14.55,1.21,24.91,16.53,1.5
2016,Euro,Turkiye,6.53,18,26.56,255.25,4.91,6,28,27.5,58.95,3.68,26.13,87,5.8,25.71,89.95,6.43
2016,Euro,Ireland,6.49,33,28.43,120.25,2.61,2.5,30,28.08,38.15,2.93,27.19,49.7,3.11,30.3,26.85,2.69
2016,Euro,Czech Republic,6.49,30,26.08,119.98,2.4,4,28,26.42,34.55,1.82,25.71,43.68,2.57,25.1,34.4,3.44
2016,Euro,Sweden,6.48,35,25.25,149.4,2.72,2.5,27,25,58.55,3.08,25.79,45.4,3.24,25,38,2.53
2016,Euro,Ukraine,6.45,19,25.5,131.95,3.14,4,33,25.86,33.45,2.39,25.33,39,3.25,25.2,49.8,4.98
2016,Euro,Russia,6.43,29,26.07,190,4.63,15,29,26.07,63.4,4.53,24.62,60.7,4.67,26.38,29,3.63
2018,World Cup,Belgium,7.06,3,26.62,964.2,24.72,55,27,27.92,189.8,15.82,25.44,264.5,29.39,26.25,424,35.33
2018,World Cup,Brazil,7.06,2,25.13,863.75,19.19,16,25,27.85,166.25,12.79,24.77,243,18.69,23.36,399.5,36.32
2018,World Cup,France,6.94,7,26.1,1720,41.99,25,32,25.27,489,32.6,26.45,522.5,47.5,25.11,625,69.44
2018,World Cup,Croatia,6.92,20,26,457.25,11.15,6.5,29,25.81,101.7,6.36,26.67,229.3,19.11,25.78,113.5,12.61
2018,World Cup,Russia,6.85,70,27.13,322.2,6.2,10.5,27,27.94,88.05,4.89,25.53,143.65,8.45,26.67,70.7,5.89
2018,World Cup,England,6.84,12,24.78,1610,35.7,40,25,24.93,512,34.13,24.08,422,32.46,23.9,593,59.3
2018,World Cup,Uruguay,6.83,14,25.03,359.73,11.24,11,31,23.64,103.83,7.42,23.78,92,10.22,27.17,148.5,24.75
2018,World Cup,Sweden,6.8,24,26.25,217.9,3.57,7.5,29,27.38,80.75,3.85,26.35,73.65,4.33,24.71,50.05,2.94
2018,World Cup,Colombia,6.79,16,24.67,262.05,6.24,7,29,24.5,68.83,4.92,24.58,99.98,8.33,24.83,84.6,7.05
2018,World Cup,Spain,6.77,10,26.45,1700,34.74,65,28,27.11,466,24.53,25.94,712,41.88,26.4,379.5,37.95
2018,World Cup,Denmark,6.76,12,26.08,432.6,6.87,12,32,25.55,109.75,5.49,26.81,190.05,11.88,25.28,110.73,6.15
2018,World Cup,South Korea,6.76,57,24.78,81.18,1.62,1.25,27,25.88,9.98,0.623,23.31,23.45,1.47,25.08,44.4,3.42
2018,World Cup,Nigeria,6.75,48,22.5,111.75,1.8,0.3,30,22.17,11.6,0.644,23.39,45,2.5,21.19,54.85,2.61
2018,World Cup,Mexico,6.72,15,24.87,185.05,3.36,3,32,24.74,50.6,2.66,24.69,49,3.06,23.71,75.35,5.38
2018,World Cup,Portugal,6.7,4,26.24,1030,22.47,20,31,27.06,238,14.88,25.33,383,31.92,24.93,387.2,27.66
2018,World Cup,Serbia,6.7,34,26.26,470.25,10.01,10,27,27.18,115.3,6.78,26.57,198.25,14.16,25.4,139.5,13.95
2018,World Cup,Peru,6.67,11,24.89,43.7,1.15,1,27,24.42,10.83,0.902,24.29,19.08,1.36,25.75,11.9,1.49
2018,World Cup,Japan,6.67,61,23.3,88.23,1.12,1.35,31,23.46,21.48,0.895,22.67,29.78,1.24,23.17,33.73,1.41
2018,World Cup,Germany,6.66,1,25.68,1400,36.86,90,27,25.29,462,33,24.91,459,41.73,25.38,327,40.88
2018,World Cup,Switzerland,6.64,6,25.28,383.1,9.58,12,30,26.56,144.05,9,24.33,123.5,20.58,24.23,88.05,6.77
2018,World Cup,Iran,6.64,37,24.4,43.2,1.08,1.2,25,24.71,9.85,0.704,24.88,6.55,0.819,23.62,24.03,1.85
2018,World Cup,Argentina,6.57,5,24.54,767.7,13.71,14,25,24.24,110.7,6.51,23.5,117.5,8.39,24.65,511.6,30.09
2018,World Cup,Senegal,6.56,27,24.02,234.33,4.88,2.2,23,24.53,64.9,3.82,24.56,46.83,5.2,23.06,119.05,7
2018,World Cup,Tunisia,6.56,21,24.22,41.68,0.817,1.25,21,24.47,8.85,0.59,22.92,7.58,0.583,24.31,21.58,1.35
2018,World Cup,Poland,6.53,8,26.36,378.65,9.02,35,29,27.2,59.05,3.94,24.91,91.85,8.35,26.3,164.75,16.48
2018,World Cup,Morocco,6.52,41,24.52,105.88,1.71,0.8,25,24.29,28.95,1.38,24.35,28.78,1.69,24.72,45.65,2.54
