Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper
W,Spain,6,4,2,0,12,1,11,14,Fernando Torres - 3,Iker Casillas
,,,,,,,,,,,
F,Italy,6,2,3,1,6,7,-1,9,Mario Balotelli - 3,Gianluigi Buffon
,,,,,,,,,,,
SF,Germany,5,4,0,1,10,6,4,12,Mario Gómez - 3,Manuel Neuer
SF,Portugal,5,3,1,1,6,4,2,10,Cristiano Ronaldo - 3,Rui Patrício
,,,,,,,,,,,
QF,England,4,2,2,0,5,3,2,8,"Wayne Rooney, Theo Walcott... - 1",Joe Hart
QF,Czechia,4,2,0,2,4,6,-2,6,"Petr Jiráček, Václav Pilař - 2",Petr Čech
QF,Greece,4,1,1,2,5,7,-2,4,Dimitris Salpingidis - 2,Michalis Sifakis
QF,France,4,1,1,2,3,5,-2,4,"Samir Nasri, Yohan Cabaye... - 1",Hugo Lloris
,,,,,,,,,,,
GR,Russia,3,1,1,1,5,3,2,4,Alan Dzagoev - 3,Vyacheslav Malafeev
GR,Croatia,3,1,1,1,4,3,1,4,Mario Mandžukić - 3,Stipe Pletikosa
GR,Sweden,3,1,0,2,5,5,0,3,Zlatan Ibrahimović - 2,Andreas Isaksson
GR,Denmark,3,1,0,2,4,5,-1,3,"Nicklas Bendtner, Michael Krohn-Dehli - 2",Stephan Andersen
GR,Ukraine,3,1,0,2,2,4,-2,3,Andriy Shevchenko - 2,Andriy Pyatov
GR,Poland,3,0,2,1,2,3,-1,2,"Robert Lewandowski, Jakub Błaszczykowski - 1",Przemysław Tytoń
GR,Netherlands,3,0,0,3,2,5,-3,0,"Rafael van der Vaart, Robin van Persie - 1",Maarten Stekelenburg
GR,ie Rep. of Ireland,3,0,0,3,1,9,-8,0,Sean St Ledger - 1,Shay Given
