stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,events_list,lineup_home,lineup_away
 Final ,11.07.2021,True,3,2, Italy , England ,1,1,66%, 34% ,19, 6 ,6, 2 ,53%, 47% ,"[{'event_team': 'away', 'event_time': "" 2' "", 'event_type': 'Goal', 'action_player_1': ' Luke Shaw ', 'action_player_2': ' Kieran Trippier '}, {'event_team': 'home', 'event_time': "" 47' "", 'event_type': 'Yellow card', 'action_player_1': ' Nicolo Barella '}, {'event_team': 'home', 'event_time': "" 54' "", 'event_type': 'Substitution', 'action_player_1': ' Bryan Cristante ', 'action_player_2': ' Nicolo Barella '}, {'event_team': 'home', 'event_time': "" 55' "", 'event_type': 'Yellow card', 'action_player_1': ' Leonardo Bonucci '}, {'event_team': 'home', 'event_time': "" 55' "", 'event_type': 'Substitution', 'action_player_1': ' Domenico Berardi ', 'action_player_2': ' Ciro Immobile '}, {'event_team': 'home', 'event_time': "" 67' "", 'event_type': 'Goal', 'action_player_1': ' Leonardo Bonucci '}, {'event_team': 'away', 'event_time': "" 70' "", 'event_type': 'Substitution', 'action_player_1': ' Bukayo Saka ', 'action_player_2': ' Kieran Trippier '}, {'event_team': 'away', 'event_time': "" 74' "", 'event_type': 'Substitution', 'action_player_1': ' Jordan Henderson ', 'action_player_2': ' Declan Rice '}, {'event_team': 'home', 'event_time': "" 84' "", 'event_type': 'Yellow card', 'action_player_1': ' Lorenzo Insigne '}, {'event_team': 'home', 'event_time': "" 86' "", 'event_type': 'Substitution', 'action_player_1': ' Federico Bernardeschi ', 'action_player_2': ' Federico Chiesa '}, {'event_team': 'home', 'event_time': "" 96' "", 'event_type': 'Yellow card', 'action_player_1': ' Giorgio Chiellini '}, {'event_team': 'home', 'event_time': "" 90' "", 'event_type': 'Substitution', 'action_player_1': ' Andrea Belotti ', 'action_player_2': ' Lorenzo Insigne '}, {'event_team': 'home', 'event_time': "" 96' "", 'event_type': 'Substitution', 'action_player_1': ' Manuel Locatelli ', 'action_player_2': ' Marco Verratti '}, {'event_team': 'away', 'event_time': "" 99' "", 'event_type': 'Substitution', 'action_player_1': ' Jack Grealish ', 'action_player_2': ' Mason Mount '}, {'event_team': 'away', 'event_time': "" 106' "", 'event_type': 'Yellow card', 'action_player_1': ' Harry Maguire '}, {'event_team': 'home', 'event_time': "" 114' "", 'event_type': 'Yellow card', 'action_player_1': ' Jorginho '}, {'event_team': 'home', 'event_time': "" 118' "", 'event_type': 'Substitution', 'action_player_1': ' Alessandro Florenzi ', 'action_player_2': ' Emerson '}, {'event_team': 'away', 'event_time': "" 120' "", 'event_type': 'Substitution', 'action_player_1': ' Marcus Rashford ', 'action_player_2': ' Jordan Henderson '}, {'event_team': 'away', 'event_time': "" 120' "", 'event_type': 'Substitution', 'action_player_1': ' Jadon Sancho ', 'action_player_2': ' Kyle Walker '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Domenico Berardi '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Harry Kane '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Andrea Belotti '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Harry Maguire '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Leonardo Bonucci '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Marcus Rashford '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Federico Bernardeschi '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Jadon Sancho '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Jorginho '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Bukayo Saka '}]","[{'Player_Name': 'Insigne', 'Player_Number': '10'}, {'Player_Name': 'Immobile', 'Player_Number': '17'}, {'Player_Name': 'Chiesa', 'Player_Number': '14'}, {'Player_Name': 'Verratti', 'Player_Number': '6'}, {'Player_Name': 'Jorginho', 'Player_Number': '8'}, {'Player_Name': 'Barella', 'Player_Number': '18'}, {'Player_Name': 'Emerson', 'Player_Number': '13'}, {'Player_Name': 'Chiellini', 'Player_Number': '3'}, {'Player_Name': 'Bonucci', 'Player_Number': '19'}, {'Player_Name': 'Di Lorenzo', 'Player_Number': '2'}, {'Player_Name': 'Donnarumma', 'Player_Number': '21'}]","[{'Player_Name': 'Kane', 'Player_Number': '9'}, {'Player_Name': 'Mount', 'Player_Number': '19'}, {'Player_Name': 'Sterling', 'Player_Number': '10'}, {'Player_Name': 'Shaw', 'Player_Number': '3'}, {'Player_Name': 'Rice', 'Player_Number': '4'}, {'Player_Name': 'Phillips', 'Player_Number': '14'}, {'Player_Name': 'Trippier', 'Player_Number': '12'}, {'Player_Name': 'Maguire', 'Player_Number': '6'}, {'Player_Name': 'Stones', 'Player_Number': '5'}, {'Player_Name': 'Walker', 'Player_Number': '2'}, {'Player_Name': 'Pickford', 'Player_Number': '1'}]"
 Semi-finals , 07.07.2021 ,False,False,False, England , Denmark ,2,1,59%, 41% ,20, 6 ,10, 3 ,50%, 50% ,"[{'event_team': 'away', 'event_time': "" 30' "", 'event_type': 'Goal', 'action_player_1': ' Mikkel Damsgaard '}, {'event_team': 'home', 'event_time': "" 39' "", 'event_type': 'Own goal', 'action_player_1': ' Simon Kjaer ', 'action_player_2': ' Own goal '}, {'event_team': 'home', 'event_time': "" 49' "", 'event_type': 'Yellow card', 'action_player_1': ' Harry Maguire '}, {'event_team': 'away', 'event_time': "" 67' "", 'event_type': 'Substitution', 'action_player_1': ' Daniel Wass ', 'action_player_2': ' Jens Stryger Larsen '}, {'event_team': 'away', 'event_time': "" 67' "", 'event_type': 'Substitution', 'action_player_1': ' Yussuf Poulsen ', 'action_player_2': ' Mikkel Damsgaard '}, {'event_team': 'away', 'event_time': "" 67' "", 'event_type': 'Substitution', 'action_player_1': ' Christian Nørgaard ', 'action_player_2': ' Kasper Dolberg '}, {'event_team': 'home', 'event_time': "" 69' "", 'event_type': 'Substitution', 'action_player_1': ' Jack Grealish ', 'action_player_2': ' Bukayo Saka '}, {'event_team': 'away', 'event_time': "" 72' "", 'event_type': 'Yellow card', 'action_player_1': ' Daniel Wass '}, {'event_team': 'away', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Joachim Andersen ', 'action_player_2': ' Andreas Christensen '}, {'event_team': 'away', 'event_time': "" 88' "", 'event_type': 'Substitution', 'action_player_1': ' Mathias Jensen ', 'action_player_2': ' Thomas Delaney '}, {'event_team': 'home', 'event_time': "" 95' "", 'event_type': 'Substitution', 'action_player_1': ' Jordan Henderson ', 'action_player_2': ' Declan Rice '}, {'event_team': 'home', 'event_time': "" 95' "", 'event_type': 'Substitution', 'action_player_1': ' Philip Foden ', 'action_player_2': ' Mason Mount '}, {'event_team': 'home', 'event_time': "" 104' "", 'event_type': 'Goal', 'action_player_1': ' Harry Kane '}, {'event_team': 'away', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Jonas Wind ', 'action_player_2': ' Jannik Vestergaard '}, {'event_team': 'home', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Kieran Trippier ', 'action_player_2': ' Jack Grealish '}]","[{'Player_Name': 'Kane', 'Player_Number': '9'}, {'Player_Name': 'Sterling', 'Player_Number': '10'}, {'Player_Name': 'Mount', 'Player_Number': '19'}, {'Player_Name': 'Saka', 'Player_Number': '25'}, {'Player_Name': 'Rice', 'Player_Number': '4'}, {'Player_Name': 'Phillips', 'Player_Number': '14'}, {'Player_Name': 'Shaw', 'Player_Number': '3'}, {'Player_Name': 'Maguire', 'Player_Number': '6'}, {'Player_Name': 'Stones', 'Player_Number': '5'}, {'Player_Name': 'Walker', 'Player_Number': '2'}, {'Player_Name': 'Pickford', 'Player_Number': '1'}]","[{'Player_Name': 'Krogh Damsgaard', 'Player_Number': '14'}, {'Player_Name': 'Dolberg', 'Player_Number': '12'}, {'Player_Name': 'Braithwaite', 'Player_Number': '9'}, {'Player_Name': 'Mæhle Pedersen', 'Player_Number': '5'}, {'Player_Name': 'Delaney', 'Player_Number': '8'}, {'Player_Name': 'Højbjerg', 'Player_Number': '23'}, {'Player_Name': 'Stryger Larsen', 'Player_Number': '17'}, {'Player_Name': 'Vestergaard', 'Player_Number': '3'}, {'Player_Name': 'Kjaer', 'Player_Number': '4'}, {'Player_Name': 'Christensen', 'Player_Number': '6'}, {'Player_Name': 'Schmeichel', 'Player_Number': '1'}]"
 Semi-finals ,06.07.2021,True,4,2, Italy , Spain ,1,1,29%, 71% ,7, 16 ,4, 5 ,49%, 51% ,"[{'event_team': 'away', 'event_time': "" 51' "", 'event_type': 'Yellow card', 'action_player_1': ' Sergio Busquets '}, {'event_team': 'home', 'event_time': "" 60' "", 'event_type': 'Goal', 'action_player_1': ' Federico Chiesa ', 'action_player_2': ' Ciro Immobile '}, {'event_team': 'home', 'event_time': "" 61' "", 'event_type': 'Substitution', 'action_player_1': ' Domenico Berardi ', 'action_player_2': ' Ciro Immobile '}, {'event_team': 'away', 'event_time': "" 62' "", 'event_type': 'Substitution', 'action_player_1': ' Alvaro Morata ', 'action_player_2': ' Ferran Torres '}, {'event_team': 'away', 'event_time': "" 70' "", 'event_type': 'Substitution', 'action_player_1': ' Gerard Moreno ', 'action_player_2': ' Mikel Oyarzabal '}, {'event_team': 'away', 'event_time': "" 70' "", 'event_type': 'Substitution', 'action_player_1': ' Rodri ', 'action_player_2': ' Koke '}, {'event_team': 'home', 'event_time': "" 74' "", 'event_type': 'Substitution', 'action_player_1': ' Matteo Pessina ', 'action_player_2': ' Marco Verratti '}, {'event_team': 'home', 'event_time': "" 74' "", 'event_type': 'Substitution', 'action_player_1': ' Rafael Tolói ', 'action_player_2': ' Emerson '}, {'event_team': 'away', 'event_time': "" 80' "", 'event_type': 'Goal', 'action_player_1': ' Alvaro Morata ', 'action_player_2': ' Daniel Olmo '}, {'event_team': 'home', 'event_time': "" 85' "", 'event_type': 'Substitution', 'action_player_1': ' Manuel Locatelli ', 'action_player_2': ' Nicolo Barella '}, {'event_team': 'away', 'event_time': "" 85' "", 'event_type': 'Substitution', 'action_player_1': ' Marcos Llorente ', 'action_player_2': ' Cesar Azpilicueta '}, {'event_team': 'home', 'event_time': "" 85' "", 'event_type': 'Substitution', 'action_player_1': ' Andrea Belotti ', 'action_player_2': ' Lorenzo Insigne '}, {'event_team': 'home', 'event_time': "" 97' "", 'event_type': 'Yellow card', 'action_player_1': ' Rafael Tolói '}, {'event_team': 'away', 'event_time': "" 105' "", 'event_type': 'Substitution', 'action_player_1': ' Thiago Alcantara ', 'action_player_2': ' Sergio Busquets '}, {'event_team': 'home', 'event_time': "" 107' "", 'event_type': 'Substitution', 'action_player_1': ' Federico Bernardeschi ', 'action_player_2': ' Federico Chiesa '}, {'event_team': 'away', 'event_time': "" 109' "", 'event_type': 'Substitution', 'action_player_1': ' Pau Torres ', 'action_player_2': ' Eric García '}, {'event_team': 'home', 'event_time': "" 118' "", 'event_type': 'Yellow card', 'action_player_1': ' Leonardo Bonucci '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Manuel Locatelli '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Daniel Olmo '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Andrea Belotti '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Gerard Moreno '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Leonardo Bonucci '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Thiago Alcantara '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Federico Bernardeschi '}, {'event_team': 'away', 'event_time': False, 'event_type': 'PK', 'event_result': 'Missed', 'event_player': ' Alvaro Morata '}, {'event_team': 'home', 'event_time': False, 'event_type': 'PK', 'event_result': 'Goal', 'event_player': ' Jorginho '}]","[{'Player_Name': 'Insigne', 'Player_Number': '10'}, {'Player_Name': 'Immobile', 'Player_Number': '17'}, {'Player_Name': 'Chiesa', 'Player_Number': '14'}, {'Player_Name': 'Verratti', 'Player_Number': '6'}, {'Player_Name': 'Jorginho', 'Player_Number': '8'}, {'Player_Name': 'Barella', 'Player_Number': '18'}, {'Player_Name': 'Emerson', 'Player_Number': '13'}, {'Player_Name': 'Chiellini', 'Player_Number': '3'}, {'Player_Name': 'Bonucci', 'Player_Number': '19'}, {'Player_Name': 'Di Lorenzo', 'Player_Number': '2'}, {'Player_Name': 'Donnarumma', 'Player_Number': '21'}]","[{'Player_Name': 'Torres', 'Player_Number': '11'}, {'Player_Name': 'Olmo Carvajal', 'Player_Number': '19'}, {'Player_Name': 'Oyarzabal', 'Player_Number': '21'}, {'Player_Name': 'González López', 'Player_Number': '26'}, {'Player_Name': 'Busquets', 'Player_Number': '5'}, {'Player_Name': 'Koke', 'Player_Number': '8'}, {'Player_Name': 'Alba', 'Player_Number': '18'}, {'Player_Name': 'Laporte', 'Player_Number': '24'}, {'Player_Name': 'García Martret', 'Player_Number': '12'}, {'Player_Name': 'Azpilicueta', 'Player_Number': '2'}, {'Player_Name': 'Simon', 'Player_Number': '23'}]"
 Quarter-finals , 03.07.2021 ,False,False,False, Ukraine , England ,0,4,48%, 52% ,7, 10 ,2, 6 ,42%, 59% ,"[{'event_team': 'away', 'event_time': "" 4' "", 'event_type': 'Goal', 'action_player_1': ' Harry Kane ', 'action_player_2': ' Raheem Sterling '}, {'event_team': 'home', 'event_time': "" 35' "", 'event_type': 'Substitution', 'action_player_1': ' Viktor Tsygankov ', 'action_player_2': ' Serhii Kryvtsov '}, {'event_team': 'away', 'event_time': "" 46' "", 'event_type': 'Goal', 'action_player_1': ' Harry Maguire ', 'action_player_2': ' Luke Shaw '}, {'event_team': 'away', 'event_time': "" 50' "", 'event_type': 'Goal', 'action_player_1': ' Harry Kane ', 'action_player_2': ' Luke Shaw '}, {'event_team': 'away', 'event_time': "" 57' "", 'event_type': 'Substitution', 'action_player_1': ' Jordan Henderson ', 'action_player_2': ' Declan Rice '}, {'event_team': 'away', 'event_time': "" 63' "", 'event_type': 'Goal', 'action_player_1': ' Jordan Henderson ', 'action_player_2': ' Mason Mount '}, {'event_team': 'home', 'event_time': "" 64' "", 'event_type': 'Substitution', 'action_player_1': ' Yevhen Makarenko ', 'action_player_2': ' Serhiy Sydorchuk '}, {'event_team': 'away', 'event_time': "" 65' "", 'event_type': 'Substitution', 'action_player_1': ' Kieran Trippier ', 'action_player_2': ' Luke Shaw '}, {'event_team': 'away', 'event_time': "" 65' "", 'event_type': 'Substitution', 'action_player_1': ' Marcus Rashford ', 'action_player_2': ' Raheem Sterling '}, {'event_team': 'away', 'event_time': "" 65' "", 'event_type': 'Substitution', 'action_player_1': ' Jude Bellingham ', 'action_player_2': ' Kalvin Phillips '}, {'event_team': 'away', 'event_time': "" 73' "", 'event_type': 'Substitution', 'action_player_1': ' Dominic Calvert-Lewin ', 'action_player_2': ' Harry Kane '}]","[{'Player_Name': 'Yaremchuk', 'Player_Number': '9'}, {'Player_Name': 'Yarmolenko', 'Player_Number': '7'}, {'Player_Name': 'Mykolenko', 'Player_Number': '16'}, {'Player_Name': 'Zinchenko', 'Player_Number': '17'}, {'Player_Name': 'Sydorchuk', 'Player_Number': '5'}, {'Player_Name': 'Shaparenko', 'Player_Number': '10'}, {'Player_Name': 'Karavaev', 'Player_Number': '21'}, {'Player_Name': 'Matvienko', 'Player_Number': '22'}, {'Player_Name': 'Kryvtsov', 'Player_Number': '4'}, {'Player_Name': 'Zabarnyi', 'Player_Number': '13'}, {'Player_Name': 'Bushchan', 'Player_Number': '1'}]","[{'Player_Name': 'Kane', 'Player_Number': '9'}, {'Player_Name': 'Sterling', 'Player_Number': '10'}, {'Player_Name': 'Mount', 'Player_Number': '19'}, {'Player_Name': 'Sancho', 'Player_Number': '17'}, {'Player_Name': 'Rice', 'Player_Number': '4'}, {'Player_Name': 'Phillips', 'Player_Number': '14'}, {'Player_Name': 'Shaw', 'Player_Number': '3'}, {'Player_Name': 'Maguire', 'Player_Number': '6'}, {'Player_Name': 'Stones', 'Player_Number': '5'}, {'Player_Name': 'Walker', 'Player_Number': '2'}, {'Player_Name': 'Pickford', 'Player_Number': '1'}]"
 Quarter-finals , 03.07.2021 ,False,False,False, Czech Republic , Denmark ,1,2,56%, 44% ,16, 11 ,5, 7 ,48%, 52% ,"[{'event_team': 'away', 'event_time': "" 5' "", 'event_type': 'Goal', 'action_player_1': ' Thomas Delaney ', 'action_player_2': ' Jens Stryger Larsen '}, {'event_team': 'away', 'event_time': "" 42' "", 'event_type': 'Goal', 'action_player_1': ' Kasper Dolberg ', 'action_player_2': ' Joakim Mæhle '}, {'event_team': 'home', 'event_time': "" 45' "", 'event_type': 'Substitution', 'action_player_1': ' Jakub Jankto ', 'action_player_2': ' Tomáš Holeš '}, {'event_team': 'home', 'event_time': "" 45' "", 'event_type': 'Substitution', 'action_player_1': ' Michael Krmenčík ', 'action_player_2': ' Lukáš Masopust '}, {'event_team': 'home', 'event_time': "" 49' "", 'event_type': 'Goal', 'action_player_1': ' Patrik Schick ', 'action_player_2': ' Vladimír Coufal '}, {'event_team': 'away', 'event_time': "" 59' "", 'event_type': 'Substitution', 'action_player_1': ' Yussuf Poulsen ', 'action_player_2': ' Kasper Dolberg '}, {'event_team': 'away', 'event_time': "" 60' "", 'event_type': 'Substitution', 'action_player_1': ' Christian Nørgaard ', 'action_player_2': ' Mikkel Damsgaard '}, {'event_team': 'home', 'event_time': "" 65' "", 'event_type': 'Substitution', 'action_player_1': ' Jakub Brabec ', 'action_player_2': ' Ondřej Čelůstka '}, {'event_team': 'away', 'event_time': "" 70' "", 'event_type': 'Substitution', 'action_player_1': ' Daniel Wass ', 'action_player_2': ' Jens Stryger Larsen '}, {'event_team': 'home', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Matěj Vydra ', 'action_player_2': ' Patrik Schick '}, {'event_team': 'home', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Vladimir Darida ', 'action_player_2': ' Petr Ševčík '}, {'event_team': 'away', 'event_time': "" 81' "", 'event_type': 'Substitution', 'action_player_1': ' Joachim Andersen ', 'action_player_2': ' Andreas Christensen '}, {'event_team': 'away', 'event_time': "" 81' "", 'event_type': 'Substitution', 'action_player_1': ' Mathias Jensen ', 'action_player_2': ' Thomas Delaney '}, {'event_team': 'home', 'event_time': "" 84' "", 'event_type': 'Yellow card', 'action_player_1': ' Michael Krmenčík '}, {'event_team': 'home', 'event_time': "" 86' "", 'event_type': 'Yellow card', 'action_player_1': ' Tomáš Kalas '}]","[{'Player_Name': 'Schick', 'Player_Number': '10'}, {'Player_Name': 'Ševčík', 'Player_Number': '13'}, {'Player_Name': 'Barák', 'Player_Number': '7'}, {'Player_Name': 'Masopust', 'Player_Number': '12'}, {'Player_Name': 'Souček', 'Player_Number': '15'}, {'Player_Name': 'Holeš', 'Player_Number': '9'}, {'Player_Name': 'Bořil', 'Player_Number': '18'}, {'Player_Name': 'Kalas', 'Player_Number': '6'}, {'Player_Name': 'Čelůstka', 'Player_Number': '3'}, {'Player_Name': 'Coufal', 'Player_Number': '5'}, {'Player_Name': 'Vaclik', 'Player_Number': '1'}]","[{'Player_Name': 'Dolberg', 'Player_Number': '12'}, {'Player_Name': 'Braithwaite', 'Player_Number': '9'}, {'Player_Name': 'Krogh Damsgaard', 'Player_Number': '14'}, {'Player_Name': 'Mæhle Pedersen', 'Player_Number': '5'}, {'Player_Name': 'Delaney', 'Player_Number': '8'}, {'Player_Name': 'Højbjerg', 'Player_Number': '23'}, {'Player_Name': 'Stryger Larsen', 'Player_Number': '17'}, {'Player_Name': 'Vestergaard', 'Player_Number': '3'}, {'Player_Name': 'Kjaer', 'Player_Number': '4'}, {'Player_Name': 'Christensen', 'Player_Number': '6'}, {'Player_Name': 'Schmeichel', 'Player_Number': '1'}]"
 Quarter-finals , 02.07.2021 ,False,False,False, Belgium , Italy ,1,2,46%, 54% ,10, 14 ,4, 3 ,58%, 42% ,"[{'event_team': 'away', 'event_time': "" 13' "", 'event_type': 'Disallowed goal', 'action_player_1': 'Disallowed goal'}, {'event_team': 'away', 'event_time': "" 20' "", 'event_type': 'Yellow card', 'action_player_1': ' Marco Verratti '}, {'event_team': 'home', 'event_time': "" 21' "", 'event_type': 'Yellow card', 'action_player_1': ' Youri Tielemans '}, {'event_team': 'away', 'event_time': "" 31' "", 'event_type': 'Goal', 'action_player_1': ' Nicolo Barella ', 'action_player_2': ' Marco Verratti '}, {'event_team': 'away', 'event_time': "" 44' "", 'event_type': 'Goal', 'action_player_1': ' Lorenzo Insigne ', 'action_player_2': ' Nicolo Barella '}, {'event_team': 'home', 'event_time': "" 47' "", 'event_type': 'Penalty', 'action_player_1': ' Romelu Lukaku ', 'action_player_2': ' Penalty '}, {'event_team': 'home', 'event_time': "" 69' "", 'event_type': 'Substitution', 'action_player_1': ' Dries Mertens ', 'action_player_2': ' Youri Tielemans '}, {'event_team': 'home', 'event_time': "" 70' "", 'event_type': 'Substitution', 'action_player_1': ' Nacer Chadli ', 'action_player_2': ' Thomas Meunier '}, {'event_team': 'away', 'event_time': "" 74' "", 'event_type': 'Substitution', 'action_player_1': ' Bryan Cristante ', 'action_player_2': ' Marco Verratti '}, {'event_team': 'home', 'event_time': "" 74' "", 'event_type': 'Substitution', 'action_player_1': ' Dennis Praet ', 'action_player_2': ' Nacer Chadli '}, {'event_team': 'away', 'event_time': "" 75' "", 'event_type': 'Substitution', 'action_player_1': ' Andrea Belotti ', 'action_player_2': ' Ciro Immobile '}, {'event_team': 'away', 'event_time': "" 79' "", 'event_type': 'Substitution', 'action_player_1': ' Domenico Berardi ', 'action_player_2': ' Lorenzo Insigne '}, {'event_team': 'away', 'event_time': "" 80' "", 'event_type': 'Substitution', 'action_player_1': ' Emerson ', 'action_player_2': ' Leonardo Spinazzola '}, {'event_team': 'away', 'event_time': "" 90' "", 'event_type': 'Yellow card', 'action_player_1': ' Domenico Berardi '}, {'event_team': 'away', 'event_time': "" 91' "", 'event_type': 'Substitution', 'action_player_1': ' Rafael Tolói ', 'action_player_2': ' Federico Chiesa '}]","[{'Player_Name': 'Lukaku', 'Player_Number': '9'}, {'Player_Name': 'Doku', 'Player_Number': '25'}, {'Player_Name': 'De Bruyne', 'Player_Number': '7'}, {'Player_Name': 'Hazard', 'Player_Number': '16'}, {'Player_Name': 'Witsel', 'Player_Number': '6'}, {'Player_Name': 'Tielemans', 'Player_Number': '8'}, {'Player_Name': 'Meunier', 'Player_Number': '15'}, {'Player_Name': 'Vertonghen', 'Player_Number': '5'}, {'Player_Name': 'Vermaelen', 'Player_Number': '3'}, {'Player_Name': 'Alderweireld', 'Player_Number': '2'}, {'Player_Name': 'Courtois', 'Player_Number': '1'}]","[{'Player_Name': 'Insigne', 'Player_Number': '10'}, {'Player_Name': 'Immobile', 'Player_Number': '17'}, {'Player_Name': 'Chiesa', 'Player_Number': '14'}, {'Player_Name': 'Verratti', 'Player_Number': '6'}, {'Player_Name': 'Jorginho', 'Player_Number': '8'}, {'Player_Name': 'Barella', 'Player_Number': '18'}, {'Player_Name': 'Spinazzola', 'Player_Number': '4'}, {'Player_Name': 'Chiellini', 'Player_Number': '3'}, {'Player_Name': 'Bonucci', 'Player_Number': '19'}, {'Player_Name': 'Di Lorenzo', 'Player_Number': '2'}, {'Player_Name': 'Donnarumma', 'Player_Number': '21'}]"
