Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper
W,Spain,6,5,1,0,12,3,9,16,David Villa - 4,Iker Casillas
,,,,,,,,,,,
F,Germany,6,4,0,2,10,7,3,12,Lukas Podolski - 3,Jens Lehmann
,,,,,,,,,,,
SF,Russia,5,3,0,2,7,8,-1,9,Roman Pavlyuchenko - 3,Igor Akinfeev
SF,Turkey,5,2,1,2,8,9,-1,7,Semih Şentürk - 3,Volkan Demirel
,,,,,,,,,,,
QF,Croatia,4,3,1,0,5,2,3,10,Ivan Klasnić - 2,Stipe Pletikosa
QF,Netherlands,4,3,0,1,10,4,6,9,"Ruud van Nistelrooy, Robin van Persie... - 2",Edwin van der Sar
QF,Portugal,4,2,0,2,7,6,1,6,"Deco, Cristiano Ronaldo... - 1",Ricardo
QF,Italy,4,1,2,1,3,4,-1,5,"Christian Panucci, Daniele De Rossi... - 1",Gianluigi Buffon
,,,,,,,,,,,
GR, Switzerland,3,1,0,2,3,3,0,3,Hakan Yakin - 3,Diego Benaglio
GR,Sweden,3,1,0,2,3,4,-1,3,Zlatan Ibrahimović - 2,Andreas Isaksson
GR,Czechia,3,1,0,2,4,6,-2,3,"Jaroslav Plašil, Jan Koller... - 1",Petr Čech
GR,Romania,3,0,2,1,1,3,-2,2,Adrian Mutu - 1,Bogdan Lobonț
GR,Austria,3,0,1,2,1,3,-2,1,Ivica Vastić - 1,Jürgen Macho
GR,Poland,3,0,1,2,1,4,-3,1,Roger Guerreiro - 1,Artur Boruc
GR,France,3,0,1,2,1,6,-5,1,Thierry Henry - 1,Grégory Coupet
GR,Greece,3,0,0,3,1,5,-4,0,Angelos Charisteas - 1,Antonios Nikopolidis
