matchid,hometeamname,awayteamname,event,minute,phase,injuryminute,teamfromid,teamtoid,playerfromid,playertoid,time,matcheventattribute
2024442,Austria,North Macedonia,Foul,52,2,0,59205,8,250028268,250065408,2021-06-13T17:09:12.617,NA
2024442,Austria,North Macedonia,YellowCard,52,2,0,59205,,250028268,,2021-06-13T17:09:53.42,NA
2024442,Austria,North Macedonia,FreeKick,53,2,0,8,,250073627,,2021-06-13T17:10:25.737,NA
2024442,Austria,North Macedonia,Foul,53,2,0,59205,8,250064634,250065408,2021-06-13T17:10:41.297,NA
2024442,Austria,North Macedonia,FreeKick,53,2,0,8,,250020234,,2021-06-13T17:10:48.693,NA
2024442,Austria,North Macedonia,Substitution,58,2,0,8,8,250089289,250023832,2021-06-13T17:15:47.823,NA
2024442,Austria,North Macedonia,Substitution,59,2,0,8,8,250116789,1903428,2021-06-13T17:16:03.51,NA
2024442,Austria,North Macedonia,Foul,60,2,0,59205,8,250091841,1903428,2021-06-13T17:17:20.977,NA
2024442,Austria,North Macedonia,FreeKick,60,2,0,8,,1903428,,2021-06-13T17:17:28.457,NA
2024442,Austria,North Macedonia,GoalAttemptOnTarget,63,2,0,59205,,250043103,,2021-06-13T17:20:00.933,NA
2024442,Austria,North Macedonia,GoalAttemptSaved,63,2,0,8,,250056875,,2021-06-13T17:20:01.933,NA
2024442,Austria,North Macedonia,GoalAttemptOffTarget,63,2,0,59205,,52148,,2021-06-13T17:20:03.573,NA
2024442,Austria,North Macedonia,Substitution,63,2,0,59205,59205,250043103,250055992,2021-06-13T17:20:57.94,NA
2024442,Austria,North Macedonia,Substitution,63,2,0,59205,59205,250039878,250055403,2021-06-13T17:20:58.297,NA
2024442,Austria,North Macedonia,GoalAttemptOnTarget,64,2,0,8,,250023832,,2021-06-13T17:21:39.173,NA
2024442,Austria,North Macedonia,GoalAttemptSaved,64,2,0,59205,,250014421,,2021-06-13T17:21:40.173,NA
2024442,Austria,North Macedonia,Foul,64,2,0,8,59205,250003976,250028268,2021-06-13T17:21:44.337,NA
2024442,Austria,North Macedonia,FreeKick,65,2,0,59205,,250014421,,2021-06-13T17:22:15.653,NA
2024442,Austria,North Macedonia,Foul,66,2,0,8,59205,250065413,250028268,2021-06-13T17:23:27.777,NA
2024442,Austria,North Macedonia,FreeKick,66,2,0,59205,,250028268,,2021-06-13T17:23:38.537,NA
2024442,Austria,North Macedonia,Corner,67,2,0,8,,1906540,,2021-06-13T17:24:26.017,NA
2024442,Austria,North Macedonia,GoalAttemptOffTarget,67,2,0,8,,250024349,,2021-06-13T17:24:27.293,NA
2024442,Austria,North Macedonia,GoalAttemptOffTarget,69,2,0,8,,250065408,,2021-06-13T17:26:20.733,NA
2024442,Austria,North Macedonia,Offside,71,2,0,8,,250023832,,2021-06-13T17:28:41.337,NA
2024442,Austria,North Macedonia,FreeKick,72,2,0,59205,,250014421,,2021-06-13T17:29:18.973,NA
2024442,Austria,North Macedonia,GoalAttemptBlocked,73,2,0,59205,,250028268,,2021-06-13T17:30:06.773,NA
2024442,Austria,North Macedonia,GoalAttemptSaved,73,2,0,8,,250003976,,2021-06-13T17:30:07.773,NA
2024442,Austria,North Macedonia,GoalAttemptBlocked,74,2,0,59205,,250091841,,2021-06-13T17:31:41.817,NA
2024442,Austria,North Macedonia,GoalAttemptSaved,74,2,0,8,,250020234,,2021-06-13T17:31:42.817,NA
2024442,Austria,North Macedonia,Foul,74,2,0,59205,8,250028268,250003976,2021-06-13T17:31:52.217,NA
2024442,Austria,North Macedonia,FreeKick,75,2,0,8,,250020234,,2021-06-13T17:32:06.533,NA
2024442,Austria,North Macedonia,Goal,78,2,0,8,,250023832,,2021-06-13T17:35:03.817,NA
2024442,Austria,North Macedonia,Foul,81,2,0,59205,8,250022910,1903428,2021-06-13T17:38:54.257,NA
2024442,Austria,North Macedonia,Substitution,82,2,0,59205,59205,250064634,73471,2021-06-13T17:39:14.587,NA
2024442,Austria,North Macedonia,FreeKick,82,2,0,8,,250003976,,2021-06-13T17:39:29.137,NA
2024442,Austria,North Macedonia,Foul,82,2,0,59205,8,250004363,250023832,2021-06-13T17:39:57.617,NA
2024442,Austria,North Macedonia,FreeKick,83,2,0,8,,250003976,,2021-06-13T17:40:23.533,NA
2024442,Austria,North Macedonia,GoalAttemptBlocked,84,2,0,8,,250024349,,2021-06-13T17:41:23.297,NA
2024442,Austria,North Macedonia,GoalAttemptSaved,84,2,0,59205,,250031588,,2021-06-13T17:41:24.297,NA
2024442,Austria,North Macedonia,Corner,85,2,0,8,,1906540,,2021-06-13T17:42:06.837,NA
2024442,Austria,North Macedonia,Foul,85,2,0,8,59205,250003976,250005231,2021-06-13T17:42:11.177,NA
2024442,Austria,North Macedonia,YellowCard,85,2,0,8,,250003976,,2021-06-13T17:42:22.75,NA
2024442,Austria,North Macedonia,FreeKick,85,2,0,59205,,250022910,,2021-06-13T17:42:52.333,NA
2024442,Austria,North Macedonia,Substitution,86,2,0,59205,59205,250022910,250072833,2021-06-13T17:43:46.757,NA
2024442,Austria,North Macedonia,Foul,87,2,0,8,59205,250020234,250072833,2021-06-13T17:44:06.617,NA
2024442,Austria,North Macedonia,FreeKick,87,2,0,59205,,250028268,,2021-06-13T17:44:37.213,NA
2024442,Austria,North Macedonia,Goal,89,2,0,8,,1903428,,2021-06-13T17:46:56.617,NA
2024442,Austria,North Macedonia,Substitution,90,2,3,8,8,250065413,98843,2021-06-13T17:50:24.247,NA
2024442,Austria,North Macedonia,Foul,90,2,4,59205,8,250004363,250023832,2021-06-13T17:51:25.057,NA
2024442,Austria,North Macedonia,Substitution,90,2,4,8,8,250065408,103354,2021-06-13T17:51:50.657,NA
2024442,Austria,North Macedonia,FreeKick,90,2,4,8,,1906540,,2021-06-13T17:51:51.533,NA
2024442,Austria,North Macedonia,EndSecondHalf,90,2,5,,,,,2021-06-13T17:52:16.76,NA
2024486,Belgium,Italy,StartFirstHalf,0,1,0,,,,,2021-07-02T19:00:29.077,
2024486,Belgium,Italy,Foul,2,1,0,66,13,250090398,250012551,2021-07-02T19:01:57.27,
2024486,Belgium,Italy,FreeKick,2,1,0,13,,250011668,,2021-07-02T19:02:13.757,
2024486,Belgium,Italy,Corner,3,1,0,13,,250008901,,2021-07-02T19:03:00.58,
2024486,Belgium,Italy,Offside,4,1,0,13,,250010802,,2021-07-02T19:04:18.877,
2024486,Belgium,Italy,FreeKick,5,1,0,66,,250017925,,2021-07-02T19:04:36.557,
2024486,Belgium,Italy,Skill,10,1,0,66,,250066739,,2021-07-02T19:10:11.67,
2024486,Belgium,Italy,Corner,12,1,0,13,,250008901,,2021-07-02T19:11:37.837,
2024486,Belgium,Italy,Foul,12,1,0,13,66,103335,250066739,2021-07-02T19:11:48.197,
2024486,Belgium,Italy,FreeKick,12,1,0,66,,250017925,,2021-07-02T19:12:01.997,
2024486,Belgium,Italy,Foul,12,1,0,13,66,250012551,250067749,2021-07-02T19:12:23.757,
2024486,Belgium,Italy,FreeKick,13,1,0,66,,250026037,,2021-07-02T19:13:07.613,
2024486,Belgium,Italy,GoalAttemptOffTarget,13,1,0,66,,250064229,,2021-07-02T19:13:09.397,
2024486,Belgium,Italy,Offside,13,1,0,66,,250017925,,2021-07-02T19:13:11.317,
2024486,Belgium,Italy,VarNotification,14,1,0,,,,,2021-07-02T19:13:39.4,"Incident=Goal,Reason=Offside,Status=SilentCheck"
2024486,Belgium,Italy,VarNotification,14,1,0,,,,,2021-07-02T19:13:51.867,"Incident=Goal,Reason=Offside,Status=OfficialReview"
2024486,Belgium,Italy,VarNotification,14,1,0,,,,,2021-07-02T19:13:58.69,"Incident=Goal,Reason=Offside,Result=NoGoal,Status=Changed"
2024486,Belgium,Italy,FreeKick,14,1,0,13,,250011668,,2021-07-02T19:14:19.013,
2024486,Belgium,Italy,GoalAttemptBlocked,16,1,0,13,,250064006,,2021-07-02T19:15:49.373,
2024486,Belgium,Italy,GoalAttemptSaved,16,1,0,66,,250006200,,2021-07-02T19:15:50.373,
2024486,Belgium,Italy,Corner,16,1,0,13,,250008901,,2021-07-02T19:16:14.757,
2024486,Belgium,Italy,GoalAttemptBlocked,17,1,0,13,,250008901,,2021-07-02T19:16:32.613,
2024486,Belgium,Italy,GoalAttemptSaved,17,1,0,66,,59142,,2021-07-02T19:16:33.613,
2024486,Belgium,Italy,Foul,20,1,0,66,13,250006200,250064006,2021-07-02T19:19:43.117,
2024486,Belgium,Italy,YellowCard,20,1,0,66,,250006200,,2021-07-02T19:19:50.55,
2024486,Belgium,Italy,FreeKick,20,1,0,13,,103333,,2021-07-02T19:20:08.877,
2024486,Belgium,Italy,Foul,20,1,0,13,66,250064006,250006200,2021-07-02T19:20:23.07,
2024486,Belgium,Italy,YellowCard,21,1,0,13,,250064006,,2021-07-02T19:20:38.697,
2024486,Belgium,Italy,FreeKick,21,1,0,66,,250017925,,2021-07-02T19:20:58.133,
2024486,Belgium,Italy,GoalAttemptOnTarget,22,1,0,13,,250008901,,2021-07-02T19:22:04.333,
2024486,Belgium,Italy,GoalAttemptSaved,22,1,0,66,,250078922,,2021-07-02T19:22:05.333,
2024486,Belgium,Italy,Corner,23,1,0,13,,250008901,,2021-07-02T19:22:37.277,
2024486,Belgium,Italy,GoalAttemptOnTarget,26,1,0,13,,250010802,,2021-07-02T19:25:35.973,
2024486,Belgium,Italy,GoalAttemptSaved,26,1,0,66,,250078922,,2021-07-02T19:25:36.973,
