matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank
2024442,Austria,North Macedonia,8,Austria,true,false,91,Passes completed medium,330,1
2024442,Austria,North Macedonia,8,Austria,true,false,92,Passes completed long,47,1
2024442,Austria,North Macedonia,8,Austria,true,false,93,Passes received,484,1
2024442,Austria,North Macedonia,8,Austria,true,false,94,Passes received short,107,1
2024442,Austria,North Macedonia,8,Austria,true,false,95,Passes received medium,330,1
2024442,Austria,North Macedonia,8,Austria,true,false,96,Passes received long,47,1
2024442,Austria,North Macedonia,8,Austria,true,false,97,Passes accuracy short,0.754,1
2024442,Austria,North Macedonia,8,Austria,true,false,98,Passes accuracy medium,0.875,1
2024442,Austria,North Macedonia,8,Austria,true,false,99,Passes accuracy long,0.618,1
2024442,Austria,North Macedonia,8,Austria,true,false,102,Passes completed forward,112,1
2024442,Austria,North Macedonia,8,Austria,true,false,103,Passes completed backward,97,1
2024442,Austria,North Macedonia,8,Austria,true,false,104,Passes completed left,139,1
2024442,Austria,North Macedonia,8,Austria,true,false,105,Passes completed right,136,1
2024442,Austria,North Macedonia,8,Austria,true,false,106,Passes per instance of possession,2.917,1
2024442,Austria,North Macedonia,8,Austria,true,false,107,Delivery into attacking third,54,1
2024442,Austria,North Macedonia,8,Austria,true,false,108,Delivery into key play area,31,1
2024442,Austria,North Macedonia,8,Austria,true,false,109,Delivery into penalty area,18,1
2024442,Austria,North Macedonia,8,Austria,true,false,110,Delivery into goal area,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,115,Solo run into attacking third,16,1
2024442,Austria,North Macedonia,8,Austria,true,false,116,Solo run into key play area,8,1
2024442,Austria,North Macedonia,8,Austria,true,false,117,Solo run into penalty area,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,118,Total Attacks,47,1
2024442,Austria,North Macedonia,8,Austria,true,false,119,Attacks from centre,13,1
2024442,Austria,North Macedonia,8,Austria,true,false,120,Attacks from right,13,1
2024442,Austria,North Macedonia,8,Austria,true,false,121,Attacks from left,21,1
2024442,Austria,North Macedonia,8,Austria,true,false,122,Organized attack,30,1
2024442,Austria,North Macedonia,8,Austria,true,false,123,Counter attack,1,1
2024442,Austria,North Macedonia,8,Austria,true,false,124,Clearances successful,5,2
2024442,Austria,North Macedonia,8,Austria,true,false,125,Clearances unsuccesful,2,1
2024442,Austria,North Macedonia,8,Austria,true,false,126,Tackles,11,1
2024442,Austria,North Macedonia,8,Austria,true,false,127,Tackles lost,4,2
2024442,Austria,North Macedonia,8,Austria,true,false,128,Tackles performed gaining the ball,5,1
2024442,Austria,North Macedonia,8,Austria,true,false,129,Tackles performed not gaining the ball,6,1
2024442,Austria,North Macedonia,8,Austria,true,false,130,Tackles suffered,6,2
2024442,Austria,North Macedonia,8,Austria,true,false,131,Tackles suffered losing the ball,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,132,Tackles suffered not losing the ball,5,1
2024442,Austria,North Macedonia,8,Austria,true,false,133,Lost balls,73,2
2024442,Austria,North Macedonia,8,Austria,true,false,136,Lost balls own half,32,2
2024442,Austria,North Macedonia,8,Austria,true,false,137,Lost balls opposite half,41,2
2024442,Austria,North Macedonia,8,Austria,true,false,138,Change of possession,186,1
2024442,Austria,North Macedonia,8,Austria,true,false,140,Blocks,2,1
2024442,Austria,North Macedonia,8,Austria,true,false,141,Throw-in,34,2
2024442,Austria,North Macedonia,8,Austria,true,false,142,Goals conceded from open play,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,143,Goals conceded from set pieces,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,144,Goals conceded in penalty area,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,145,Goals conceded outside penalty area,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,146,Saves in open play,1,2
2024442,Austria,North Macedonia,8,Austria,true,false,147,Saves on set pieces,0,1
2024442,Austria,North Macedonia,8,Austria,true,false,148,Saves on direct free kick,0,1
