shirtNumber,jerseyNumber,position,substitute,name,slug,position,jerseyNumber,country.name,totalPass,accuratePass,totalLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,accurateLongBalls,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,blockedScoringAttempt,totalClearance,totalTackle,expectedGoals,keyPass,expectedAssists,aerialLost,aerialWon,onTargetScoringAttempt,ownGoals,fouls,wasFouled,totalOffside,shotOffTarget,interceptionWon,dispossessed,wonContest,goals,captain,penaltyWon
2,2,D,False,anthony-ralston,D,56,Scotland,21.0,15.0,4.0,0.0,90.0,37.0,5.9,11.0,2.0,1.0,,2.0,4.0,,1.0,,1.0,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,
15,15,D,False,porteous-ryan,D,5,Scotland,21.0,16.0,4.0,0.0,45.0,28.0,5.1,6.0,1.0,,,2.0,3.0,,,,1.0,2.0,,,0.00558968,1.0,1.0,,,1.0,,,,,,,,,
13,13,D,False,jack-hendry,D,4,Scotland,26.0,23.0,4.0,0.0,90.0,33.0,5.9,3.0,3.0,,,3.0,1.0,,,,4.0,,,,,3.0,,,,,1.0,,,,,,,,
6,6,D,False,kieran-tierney,D,17,Scotland,41.0,30.0,6.0,0.0,77.0,51.0,6.1,15.0,3.0,1.0,,,3.0,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,
3,3,D,False,andrew-robertson,D,26,Scotland,27.0,23.0,3.0,0.0,90.0,47.0,6.0,10.0,,3.0,,2.0,6.0,1.0,3.0,,3.0,3.0,,,0.00535783,,,,,,1.0,,,1.0,,2.0,,True,
7,7,M,False,john-mcginn,M,7,Scotland,11.0,8.0,2.0,0.0,67.0,20.0,6.0,8.0,,,,6.0,2.0,2.0,2.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,
4,4,M,False,scott-mctominay,M,39,Scotland,17.0,12.0,1.0,0.0,90.0,35.0,6.7,9.0,1.0,3.0,1.0,4.0,7.0,1.0,2.0,,2.0,3.0,,,0.0173924,1.0,1.0,,,1.0,2.0,,,2.0,,1.0,,,
8,8,M,False,callum-mcgregor,M,42,Scotland,16.0,13.0,1.0,0.0,67.0,24.0,6.3,4.0,1.0,,,4.0,1.0,2.0,,,3.0,,,,,,,,,2.0,1.0,,,1.0,,,,,
11,11,M,False,ryan-christie,M,10,Scotland,11.0,8.0,,0.0,82.0,25.0,6.3,8.0,,,,5.0,7.0,,1.0,,1.0,,,,,,2.0,,,3.0,4.0,,,,2.0,1.0,,,
10,10,F,False,che-adams,F,,Scotland,9.0,8.0,,0.0,45.0,13.0,6.4,3.0,,,,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,
5,5,D,True,grant-hanley,D,5,Scotland,5.0,4.0,1.0,0.0,45.0,8.0,6.4,1.0,,,,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
