home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
France,Spain,FRA,ESP,2.0,0.0,,,2.0,0.0,France,WIN_REGULAR,1984,1984-06-27,1984-06-27T18:00:00Z,2.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,47368.0,57779,FRA,47926.0,48.8414333,2.2530333,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 57, 'second': 1}, 'international_name': 'Michel Platini', 'club_shirt_name': 'Platini', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 90, 'second': 2}, 'international_name': 'Bruno Bellone', 'club_shirt_name': 'Bellone', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,"[{'phase': 'SECOND_HALF', 'time': {'minute': 85, 'second': 0}, 'international_name': 'Yvon Le Roux', 'club_shirt_name': 'Le Roux', 'country_code': 'FRA', 'national_field_position': 'DEFENDER', 'national_jersey_number': None}]",[],Paris,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes
Denmark,Spain,DEN,ESP,0.0,0.0,4.0,5.0,1.0,1.0,Spain,WIN_ON_PENALTIES,1984,1984-06-24,1984-06-24T18:00:00Z,2.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,47843.0,62102,FRA,41069.0,45.7237278,4.8322306,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 7, 'second': 1}, 'international_name': 'Søren Lerby', 'club_shirt_name': 'Lerby', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 67, 'second': 2}, 'international_name': 'Antonio Maceda', 'club_shirt_name': 'Maceda', 'country_code': 'ESP', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Kenneth Brylle Larsen', 'club_shirt_name': 'Larsen', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Carlos Santillana', 'club_shirt_name': 'Santillana', 'country_code': 'ESP', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Jesper Olsen', 'club_shirt_name': 'Olsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Juan Antonio Señor', 'club_shirt_name': 'Señor', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Michael Laudrup', 'club_shirt_name': '', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Santiago Urquiaga', 'club_shirt_name': 'Urquiaga', 'country_code': 'ESP', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Søren Lerby', 'club_shirt_name': 'Lerby', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Víctor Muñoz', 'club_shirt_name': 'Víctor Muñoz', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Manuel Sarabia', 'club_shirt_name': 'Sarabia', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Preben Elkjær', 'club_shirt_name': 'Elkjær', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'MISSED'}]","[{'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 107, 'second': 0}, 'international_name': 'Klaus Berggreen', 'club_shirt_name': 'Berggreen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None}]",[],Lyon,Stade de Gerland,Stade de Gerland,Stade de Gerland,Stade de Gerland,Stade de Gerland
France,Portugal,FRA,POR,1.0,1.0,,,3.0,2.0,France,WIN_ON_EXTRA_TIME,1984,1984-06-23,1984-06-23T18:00:00Z,2.0,,1,,,,,,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,54848.0,62337,FRA,66534.0,43.26983,5.396,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 24, 'second': 1}, 'international_name': 'Jean-François Domergue', 'club_shirt_name': 'Domergue', 'country_code': 'FRA', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 74, 'second': 2}, 'international_name': 'Rui Jordão', 'club_shirt_name': 'Jordão', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_FIRST_HALF', 'time': {'minute': 98, 'second': 3}, 'international_name': 'Rui Jordão', 'club_shirt_name': 'Jordão', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 114, 'second': 4}, 'international_name': 'Jean-François Domergue', 'club_shirt_name': 'Domergue', 'country_code': 'FRA', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 119, 'second': 5}, 'international_name': 'Michel Platini', 'club_shirt_name': 'Platini', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Orange Vélodrome
Portugal,Romania,POR,ROU,1.0,0.0,,,1.0,0.0,Portugal,WIN_REGULAR,1984,1984-06-20,1984-06-20T18:30:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,24464.0,63199,FRA,35291.0,47.2560056,-1.5247083,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 81, 'second': 1}, 'international_name': 'Nené', 'club_shirt_name': 'Nené', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Nantes,Stade de la Beaujoire,La Beaujoire,Stade de la Beaujoire,Stade de la Beaujoire,Stade de la Beaujoire
West Germany,Spain,FRG,ESP,0.0,1.0,,,0.0,1.0,Spain,WIN_REGULAR,1984,1984-06-20,1984-06-20T18:30:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,47691.0,57779,FRA,47926.0,48.8414333,2.2530333,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 90, 'second': 1}, 'international_name': 'Antonio Maceda', 'club_shirt_name': 'Maceda', 'country_code': 'ESP', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Paris,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes,Parc des Princes
Denmark,Belgium,DEN,BEL,3.0,2.0,,,3.0,2.0,Denmark,WIN_REGULAR,1984,1984-06-19,1984-06-19T18:30:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,36911.0,63208,FRA,24077.0,48.5601722,7.7548417,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 26, 'second': 1}, 'international_name': 'Jan Ceulemans', 'club_shirt_name': '', 'country_code': 'BEL', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 39, 'second': 2}, 'international_name': 'Frank Vercauteren', 'club_shirt_name': 'Vercauteren', 'country_code': 'BEL', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 41, 'second': 3}, 'international_name': 'Frank Arnesen', 'club_shirt_name': '', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 60, 'second': 4}, 'international_name': 'Kenneth Brylle Larsen', 'club_shirt_name': 'Larsen', 'country_code': 'DEN', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 5}, 'international_name': 'Preben Elkjær', 'club_shirt_name': 'Elkjær', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Strasbourg,Stade de La Meinau,Stade De La Meinau,Stade de La Meinau,Stade de La Meinau,Stade de La Meinau
France,Yugoslavia,FRA,YUG,3.0,2.0,,,3.0,2.0,France,WIN_REGULAR,1984,1984-06-19,1984-06-19T18:30:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,47510.0,63194,FRA,42000.0,45.4608556,4.390125,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 32, 'second': 1}, 'international_name': 'Miloš Šestić', 'club_shirt_name': 'Šestić', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 59, 'second': 2}, 'international_name': 'Michel Platini', 'club_shirt_name': 'Platini', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 3}, 'international_name': 'Michel Platini', 'club_shirt_name': 'Platini', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 77, 'second': 4}, 'international_name': 'Michel Platini', 'club_shirt_name': 'Platini', 'country_code': 'FRA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 5}, 'international_name': 'Dragan Stojković', 'club_shirt_name': 'Stojković', 'country_code': 'SRB', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'PENALTY'}]",,,,[],Saint-Etienne,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard,Stade Geoffroy Guichard
Portugal,Spain,POR,ESP,1.0,1.0,,,1.0,1.0,,DRAW,1984,1984-06-17,1984-06-17T18:30:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,24364.0,62337,FRA,66534.0,43.26983,5.396,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 52, 'second': 1}, 'international_name': 'António Sousa', 'club_shirt_name': 'Sousa', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 73, 'second': 2}, 'international_name': 'Carlos Santillana', 'club_shirt_name': 'Santillana', 'country_code': 'ESP', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Stade de Marseille,Orange Vélodrome
West Germany,Romania,FRG,ROU,2.0,1.0,,,2.0,1.0,West Germany,WIN_REGULAR,1984,1984-06-17,1984-06-17T15:15:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,31787.0,63207,FRA,38223.0,50.4328336,2.815,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 25, 'second': 1}, 'international_name': 'Rudi Völler', 'club_shirt_name': '', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 46, 'second': 2}, 'international_name': 'Marcel Coraş', 'club_shirt_name': 'Coraş', 'country_code': 'ROU', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 66, 'second': 3}, 'international_name': 'Rudi Völler', 'club_shirt_name': '', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Lens Agglo,Stade Bollaert-Delelis,Stade Bollaert-Delelis,Stade Bollaert-Delelis,Stade Bollaert-Delelis,none
Denmark,Yugoslavia,DEN,YUG,5.0,0.0,,,5.0,0.0,Denmark,WIN_REGULAR,1984,1984-06-16,1984-06-16T18:30:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,34736.0,62102,FRA,41069.0,45.7237278,4.8322306,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 8, 'second': 1}, 'international_name': 'Frank Arnesen', 'club_shirt_name': '', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 16, 'second': 2}, 'international_name': 'Klaus Berggreen', 'club_shirt_name': 'Berggreen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 69, 'second': 3}, 'international_name': 'Frank Arnesen', 'club_shirt_name': '', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 82, 'second': 4}, 'international_name': 'Preben Elkjær', 'club_shirt_name': 'Elkjær', 'country_code': 'DEN', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 5}, 'international_name': 'Jan M Lauridsen', 'club_shirt_name': 'Lauridsen', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Lyon,Stade de Gerland,Stade de Gerland,Stade de Gerland,Stade de Gerland,Stade de Gerland
