home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
Portugal,Greece,POR,GRE,0.0,1.0,,,0.0,1.0,Greece,WIN_REGULAR,2004,2004-07-04,2004-07-04T18:45:00Z,1.0,,19,37.0,DRY,28.0,SUNNY,103.0,FINISHED,SINGLE,FINAL,FINAL,62865.0,85265,POR,64274.0,38.751488,-9.188022,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 57, 'second': 29}, 'international_name': 'Angelos Charisteas', 'club_shirt_name': 'Charisteas', 'country_code': 'GRE', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,,,[],Lisbon,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica
Greece,Czechia,GRE,CZE,0.0,0.0,,,1.0,0.0,Greece,WIN_ON_SILVER_GOAL,2004,2004-07-01,2004-07-01T18:45:00Z,1.0,,18,43.0,SOFT,23.0,SUNNY,14.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,42449.0,85429,POR,50033.0,41.1617944,-8.5836861,105.0,68.0,"[{'phase': 'EXTRA_TIME_FIRST_HALF', 'time': {'injuryMinute': 1, 'minute': 105, 'second': 10}, 'international_name': 'Traianos Dellas', 'club_shirt_name': 'Dellas', 'country_code': 'GRE', 'national_field_position': 'DEFENDER', 'national_jersey_number': '5', 'goal_type': 'SCORED'}]",,,,[],Porto,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão
Portugal,Netherlands,POR,NED,2.0,1.0,,,2.0,1.0,Portugal,WIN_REGULAR,2004,2004-06-30,2004-06-30T18:45:00Z,1.0,,17,31.0,DRY,28.0,SUNNY,23.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,46679.0,83168,POR,50061.0,38.76184,-9.164213,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 26, 'second': 39}, 'international_name': 'Cristiano Ronaldo', 'club_shirt_name': 'Ronaldo', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '7', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 58, 'second': 7}, 'international_name': 'Maniche', 'club_shirt_name': 'Oliveira Ribeiro', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 63, 'second': 22}, 'international_name': 'Jorge Andrade', 'club_shirt_name': 'Jorge Andrade', 'country_code': 'POR', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'OWN'}]",,,,[],Lisbon,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade
Czechia,Denmark,CZE,DEN,3.0,0.0,,,3.0,0.0,Czechia,WIN_REGULAR,2004,2004-06-27,2004-06-27T18:45:00Z,1.0,,16,49.0,DRY,27.0,SUNNY,14.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,41092.0,85429,POR,50033.0,41.1617944,-8.5836861,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 49, 'second': 52}, 'international_name': 'Jan Koller', 'club_shirt_name': 'Koller', 'country_code': 'CZE', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 63, 'second': 20}, 'international_name': 'Milan Baroš', 'club_shirt_name': 'Baroš', 'country_code': 'CZE', 'national_field_position': 'FORWARD', 'national_jersey_number': '15', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 65, 'second': 25}, 'international_name': 'Milan Baroš', 'club_shirt_name': 'Baroš', 'country_code': 'CZE', 'national_field_position': 'FORWARD', 'national_jersey_number': '15', 'goal_type': 'SCORED'}]",,,,[],Porto,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão,Estádio do Dragão
Sweden,Netherlands,SWE,NED,0.0,0.0,4.0,5.0,0.0,0.0,Netherlands,WIN_ON_PENALTIES,2004,2004-06-26,2004-06-26T18:45:00Z,1.0,,15,58.0,SOFT,28.0,SUNNY,25.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,27762.0,83174,POR,21329.0,37.0882972,-7.9747528,105.0,68.0,,,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Kim Källström', 'club_shirt_name': 'Kallstrom', 'country_code': 'SWE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '9', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Ruud van Nistelrooy', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': '9', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Henrik Larsson', 'club_shirt_name': '', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '17', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'John Heitinga', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'DEFENDER', 'national_jersey_number': '3', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Zlatan Ibrahimović', 'club_shirt_name': 'IBRAHIMOVIĆ', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Michael Reiziger', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Fredrik Ljungberg', 'club_shirt_name': '', 'country_code': 'SWE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '9', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Phillip Cocu', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Christian Wilhelmsson', 'club_shirt_name': 'Wilhelmsson', 'country_code': 'SWE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '21', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Roy Makaay', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Olof Mellberg', 'club_shirt_name': 'Mellberg', 'country_code': 'SWE', 'national_field_position': 'DEFENDER', 'national_jersey_number': '3', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Arjen Robben', 'club_shirt_name': 'Robben', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'penalty_type': 'SCORED'}]",,[],Faro-Loulé,Estádio Algarve,Estádio Algarve,Estádio Algarve,Estádio Algarve,Estádio Algarve
France,Greece,FRA,GRE,0.0,1.0,,,0.0,1.0,Greece,WIN_REGULAR,2004,2004-06-25,2004-06-25T18:45:00Z,1.0,,14,29.0,DRY,33.0,SUNNY,11.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,45390.0,83168,POR,50061.0,38.76184,-9.164213,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 65, 'second': 42}, 'international_name': 'Angelos Charisteas', 'club_shirt_name': 'Charisteas', 'country_code': 'GRE', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,,,[],Lisbon,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade
Portugal,England,POR,ENG,1.0,1.0,6.0,5.0,2.0,2.0,Portugal,WIN_ON_PENALTIES,2004,2004-06-24,2004-06-24T18:45:00Z,1.0,,13,50.0,SOFT,29.0,PARTLY_CLOUDY,27.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,62564.0,85265,POR,64274.0,38.751488,-9.188022,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 3, 'second': 26}, 'international_name': 'Michael Owen', 'club_shirt_name': 'Owen', 'country_code': '', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 83, 'second': 4}, 'international_name': 'Hélder Postiga', 'club_shirt_name': 'H. Postiga', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '23', 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 110, 'second': 9}, 'international_name': 'Rui Costa', 'club_shirt_name': '', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 115, 'second': 20}, 'international_name': 'Frank Lampard', 'club_shirt_name': '', 'country_code': '', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'goal_type': 'SCORED'}]",,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'David Beckham', 'club_shirt_name': 'BECKHAM', 'country_code': 'ENG', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Deco', 'club_shirt_name': 'Deco', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '20', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Michael Owen', 'club_shirt_name': 'Owen', 'country_code': '', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Simão', 'club_shirt_name': 'Simao', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Frank Lampard', 'club_shirt_name': '', 'country_code': '', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Rui Costa', 'club_shirt_name': '', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'John Terry', 'club_shirt_name': 'Terry', 'country_code': 'ENG', 'national_field_position': 'DEFENDER', 'national_jersey_number': '6', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Cristiano Ronaldo', 'club_shirt_name': 'Ronaldo', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '7', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Owen Hargreaves', 'club_shirt_name': 'Hargreaves', 'country_code': 'ENG', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Maniche', 'club_shirt_name': 'Oliveira Ribeiro', 'country_code': 'POR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Ashley Cole', 'club_shirt_name': 'A. Cole', 'country_code': 'ENG', 'national_field_position': '', 'national_jersey_number': '3', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Hélder Postiga', 'club_shirt_name': 'H. Postiga', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '23', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Darius Vassell', 'club_shirt_name': 'Vassell', 'country_code': 'ENG', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Ricardo', 'club_shirt_name': 'Ricardo', 'country_code': 'POR', 'national_field_position': '', 'national_jersey_number': '1', 'penalty_type': 'SCORED'}]",,[],Lisbon,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica,Estádio do SL Benfica
Germany,Czechia,GER,CZE,1.0,2.0,,,1.0,2.0,Czechia,WIN_REGULAR,2004,2004-06-23,2004-06-23T18:45:00Z,1.0,Group D,12,56.0,DRY,26.0,PARTLY_CLOUDY,11.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,46849.0,83168,POR,50061.0,38.76184,-9.164213,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 21, 'second': 14}, 'international_name': 'Michael Ballack', 'club_shirt_name': 'Ballack', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '13', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 30, 'second': 14}, 'international_name': 'Marek Heinz', 'club_shirt_name': 'Heinz', 'country_code': 'CZE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 77, 'second': 28}, 'international_name': 'Milan Baroš', 'club_shirt_name': 'Baroš', 'country_code': 'CZE', 'national_field_position': 'FORWARD', 'national_jersey_number': '15', 'goal_type': 'SCORED'}]",,,,[],Lisbon,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade,Estádio José Alvalade
Netherlands,Latvia,NED,LVA,3.0,0.0,,,3.0,0.0,Netherlands,WIN_REGULAR,2004,2004-06-23,2004-06-23T18:45:00Z,1.0,Group D,12,57.0,SOFT,25.0,CLOUDY,18.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,27904.0,85534,POR,30286.0,41.5625056,-8.4297861,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 27, 'second': 13}, 'international_name': 'Ruud van Nistelrooy', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'PENALTY'}, {'phase': 'FIRST_HALF', 'time': {'minute': 35, 'second': 32}, 'international_name': 'Ruud van Nistelrooy', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 84, 'second': 19}, 'international_name': 'Roy Makaay', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Braga,Estádio Municipal de Braga,Estádio Municipal de Braga,Estádio Municipal de Braga,Estádio Municipal de Braga,Estádio Municipal de Braga
Denmark,Sweden,DEN,SWE,2.0,2.0,,,2.0,2.0,,DRAW,2004,2004-06-22,2004-06-22T18:45:00Z,1.0,Group C,11,65.0,SOFT,23.0,CLOUDY,11.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,26115.0,63244,POR,26324.0,41.1622667,-8.6424694,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 28, 'second': 30}, 'international_name': 'Jon Dahl Tomasson', 'club_shirt_name': '', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 47, 'second': 6}, 'international_name': 'Henrik Larsson', 'club_shirt_name': '', 'country_code': 'SWE', 'national_field_position': 'FORWARD', 'national_jersey_number': '17', 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 66, 'second': 26}, 'international_name': 'Jon Dahl Tomasson', 'club_shirt_name': '', 'country_code': 'DEN', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 89, 'second': 37}, 'international_name': 'Mattias Jonson', 'club_shirt_name': 'Jonson', 'country_code': 'SWE', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Porto,Estádio do Bessa XXI,Estádio do Bessa XXI,Estádio do Bessa XXI,Estádio do Bessa XXI,Estádio do Bessa XXI
