home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
Belgium,West Germany,BEL,FRG,1.0,2.0,,,1.0,2.0,West Germany,WIN_REGULAR,1980,1980-06-22,1980-06-22T18:30:00Z,2.0,,1,,,,,,FINISHED,SINGLE,FINAL,FINAL,47860.0,57775,ITA,69689.0,41.9339222,12.4546833,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 10, 'second': 1}, 'international_name': 'Horst Hrubesch', 'club_shirt_name': 'Hrubesch', 'country_code': 'GER', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 75, 'second': 2}, 'international_name': 'René Vandereycken', 'club_shirt_name': 'Vandereycken', 'country_code': 'BEL', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 88, 'second': 3}, 'international_name': 'Horst Hrubesch', 'club_shirt_name': 'Hrubesch', 'country_code': 'GER', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Rome,Stadio Olimpico,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,Stadio Olimpico
Czechoslovakia,Italy,TCH,ITA,1.0,1.0,9.0,8.0,1.0,1.0,Czechoslovakia,WIN_ON_PENALTIES,1980,1980-06-21,1980-06-21T18:30:00Z,2.0,,1,,,,,,FINISHED,SINGLE,THIRD_PLAY_OFF,KNOCK_OUT,24652.0,62425,ITA,54726.0,40.8280889,14.1928694,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 54, 'second': 1}, 'international_name': 'Ladislav Jurkemik', 'club_shirt_name': 'Jurkemik', 'country_code': 'SVK', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 73, 'second': 2}, 'international_name': 'Francesco Graziani', 'club_shirt_name': 'Graziani', 'country_code': 'ITA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Franco Causio', 'club_shirt_name': 'Causio', 'country_code': 'ITA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Marián Masný', 'club_shirt_name': 'Masný', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Alessandro Altobelli', 'club_shirt_name': 'Altobelli', 'country_code': 'ITA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Zdeněk Nehoda', 'club_shirt_name': 'Nehoda', 'country_code': 'TCH', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Giuseppe Baresi', 'club_shirt_name': 'Baresi', 'country_code': 'ITA', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Anton Ondruš', 'club_shirt_name': 'Ondruš', 'country_code': 'CZE', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Antonio Cabrini', 'club_shirt_name': 'Cabrini', 'country_code': 'ITA', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Ladislav Jurkemik', 'club_shirt_name': 'Jurkemik', 'country_code': 'SVK', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Romeo Benetti', 'club_shirt_name': 'Benetti', 'country_code': 'ITA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Antonín Panenka', 'club_shirt_name': 'Panenka', 'country_code': 'CZE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Francesco Graziani', 'club_shirt_name': 'Graziani', 'country_code': 'ITA', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Koloman Gögh', 'club_shirt_name': 'Gögh', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Gaetano Scirea', 'club_shirt_name': 'Scirea', 'country_code': 'ITA', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Miroslav Gajdůšek', 'club_shirt_name': 'Gajdůšek', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Marco Tardelli', 'club_shirt_name': 'Tardelli', 'country_code': 'ITA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Ján Kozák', 'club_shirt_name': 'Kozák', 'country_code': 'SVK', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Jozef Barmoš', 'club_shirt_name': 'Barmoš', 'country_code': 'SVK', 'national_field_position': '', 'national_jersey_number': None, 'penalty_type': 'SCORED'}]",,[],Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona
Italy,Belgium,ITA,BEL,0.0,0.0,,,0.0,0.0,,DRAW,1980,1980-06-18,1980-06-18T18:30:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,42318.0,57775,ITA,69689.0,41.9339222,12.4546833,105.0,68.0,,,,,[],Rome,Stadio Olimpico,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,Stadio Olimpico
Spain,England,ESP,ENG,1.0,2.0,,,1.0,2.0,England,WIN_REGULAR,1980,1980-06-18,1980-06-18T15:45:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,14440.0,62425,ITA,54726.0,40.8280889,14.1928694,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 19, 'second': 1}, 'international_name': 'Trevor Brooking', 'club_shirt_name': 'Brooking', 'country_code': 'ENG', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 48, 'second': 2}, 'international_name': 'Dani', 'club_shirt_name': 'Dani', 'country_code': 'ESP', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 61, 'second': 3}, 'international_name': 'Tony Woodcock', 'club_shirt_name': 'Woodcock', 'country_code': 'ENG', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona
Greece,West Germany,GRE,FRG,0.0,0.0,,,0.0,0.0,,DRAW,1980,1980-06-17,1980-06-17T18:30:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,13901.0,57778,ITA,66979.0,45.1095472,7.6412806,105.0,68.0,,,,,[],Turin,Delle Alpi,Delle Alpi,Delle Alpi,Delle Alpi,Delle Alpi
Netherlands,Czechoslovakia,NED,TCH,1.0,1.0,,,1.0,1.0,,DRAW,1980,1980-06-17,1980-06-17T15:45:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,11889.0,57771,ITA,75710.0,45.4797849,9.1246561,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 16, 'second': 1}, 'international_name': 'Zdeněk Nehoda', 'club_shirt_name': 'Nehoda', 'country_code': 'TCH', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 59, 'second': 2}, 'international_name': 'Kees Kist', 'club_shirt_name': 'Kist', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Milan,Stadio San Siro,Stadio San Siro,Stadio San Siro,Stadio San Siro,Stadio San Siro
England,Italy,ENG,ITA,0.0,1.0,,,0.0,1.0,Italy,WIN_REGULAR,1980,1980-06-15,1980-06-15T18:30:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,59649.0,57778,ITA,66979.0,45.1095472,7.6412806,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 79, 'second': 1}, 'international_name': 'Marco Tardelli', 'club_shirt_name': 'Tardelli', 'country_code': 'ITA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Turin,Delle Alpi,Delle Alpi,Delle Alpi,Delle Alpi,Delle Alpi
Belgium,Spain,BEL,ESP,2.0,1.0,,,2.0,1.0,Belgium,WIN_REGULAR,1980,1980-06-15,1980-06-15T15:45:00Z,2.0,Group 2,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,11430.0,57771,ITA,75710.0,45.4797849,9.1246561,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 17, 'second': 1}, 'international_name': 'Eric Gerets', 'club_shirt_name': 'Gerets', 'country_code': 'BEL', 'national_field_position': 'DEFENDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 36, 'second': 2}, 'international_name': 'Quini', 'club_shirt_name': 'Quini', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 65, 'second': 3}, 'international_name': 'Julien Cools', 'club_shirt_name': 'Cools', 'country_code': 'BEL', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Milan,Stadio San Siro,Stadio San Siro,Stadio San Siro,Stadio San Siro,Stadio San Siro
Greece,Czechoslovakia,GRE,TCH,1.0,3.0,,,1.0,3.0,Czechoslovakia,WIN_REGULAR,1980,1980-06-14,1980-06-14T18:30:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,7614.0,57775,ITA,69689.0,41.9339222,12.4546833,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 6, 'second': 1}, 'international_name': 'Antonín Panenka', 'club_shirt_name': 'Panenka', 'country_code': 'CZE', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 14, 'second': 2}, 'international_name': 'Nikos Anastopoulos', 'club_shirt_name': 'Anastopoulos', 'country_code': 'GRE', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 26, 'second': 3}, 'international_name': 'Ladislav Vízek', 'club_shirt_name': 'Vízek', 'country_code': 'TCH', 'national_field_position': '', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 63, 'second': 4}, 'international_name': 'Zdeněk Nehoda', 'club_shirt_name': 'Nehoda', 'country_code': 'TCH', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Rome,Stadio Olimpico,Stadio Olimpico,Stadio Olimpico,Olimpico in Rome,Stadio Olimpico
West Germany,Netherlands,FRG,NED,3.0,2.0,,,3.0,2.0,West Germany,WIN_REGULAR,1980,1980-06-14,1980-06-14T15:45:00Z,2.0,Group 1,1,,,,,,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,29889.0,62425,ITA,54726.0,40.8280889,14.1928694,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 20, 'second': 1}, 'international_name': 'Klaus Allofs', 'club_shirt_name': '', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 60, 'second': 2}, 'international_name': 'Klaus Allofs', 'club_shirt_name': '', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 65, 'second': 3}, 'international_name': 'Klaus Allofs', 'club_shirt_name': '', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 79, 'second': 4}, 'international_name': 'Johnny Rep', 'club_shirt_name': 'Rep', 'country_code': 'NED', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 85, 'second': 5}, 'international_name': 'Willy van de Kerkhof', 'club_shirt_name': 'Van De Kerkhof', 'country_code': 'NED', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,[],Naples,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona,Stadio Diego Armando Maradona
