home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,winner,winner_reason,year,date,date_time,utc_offset_hours,group_name,matchday_name,condition_humidity,condition_pitch,condition_temperature,condition_weather,condition_wind_speed,status,type,round,round_mode,match_attendance,stadium_id,stadium_country_code,stadium_capacity,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,goals,penalties_missed,penalties,red_cards,game_referees,stadium_city,stadium_name,stadium_name_media,stadium_name_official,stadium_name_event,stadium_name_sponsor
Germany,Spain,GER,ESP,0.0,1.0,,,0.0,1.0,Spain,WIN_REGULAR,2008,2008-06-29,2008-06-29T18:45:00Z,2.0,,MD6,44.0,DRY,27.0,SUNNY,7.0,FINISHED,SINGLE,FINAL,FINAL,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 33, 'second': 22}, 'international_name': 'Fernando Torres', 'club_shirt_name': '', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Jaap Uilenberg', 'role': 'REFEREE_OBSERVER', 'name_short': 'Uilenberg', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Paolo Calcagno', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Calcagno', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Roberto Rosetti', 'role': 'REFEREE', 'name_short': 'Rosetti', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'František Laurinec', 'role': 'UEFA_DELEGATE', 'name_short': 'Laurinec', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Alessandro Griselli', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Griselli', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Peter Fröjdfeldt', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Fröjdfeldt', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}]",Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion
Russia,Spain,RUS,ESP,0.0,3.0,,,0.0,3.0,Spain,WIN_REGULAR,2008,2008-06-26,2008-06-26T18:45:00Z,2.0,,MD5,83.0,WET,23.0,CLOUDY,63.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 50, 'second': 34}, 'international_name': 'Xavi Hernández', 'club_shirt_name': '', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '8', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 73, 'second': 47}, 'international_name': 'Daniel Güiza', 'club_shirt_name': 'González Güiza', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 82, 'second': 8}, 'international_name': 'David Silva', 'club_shirt_name': 'Silva', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '21', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Kyros Vassaras', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Vassaras', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}, {'name': 'Alex Verstraeten', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Verstraeten', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Frank De Bleeckere', 'role': 'REFEREE', 'name_short': 'De Bleeckere', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'František Laurinec', 'role': 'UEFA_DELEGATE', 'name_short': 'Laurinec', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Bo Karlsson', 'role': 'REFEREE_OBSERVER', 'name_short': 'Karlsson', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Peter Hermans', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Hermans', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}]",Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion
Germany,Türki̇ye,GER,TUR,3.0,2.0,,,3.0,2.0,Germany,WIN_REGULAR,2008,2008-06-25,2008-06-25T18:45:00Z,2.0,,MD5,61.0,DRY,26.0,PARTLY_CLOUDY,30.0,FINISHED,SINGLE,SEMIFINAL,KNOCK_OUT,39374.0,63171,SUI,36000.0,47.5416361,7.620125,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 22, 'second': 27}, 'international_name': 'Uğur Boral', 'club_shirt_name': 'U.Boral', 'country_code': 'TUR', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '16', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 26, 'second': 55}, 'international_name': 'Bastian Schweinsteiger', 'club_shirt_name': 'SCHWEINSTEIGER', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '7', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 79, 'second': 30}, 'international_name': 'Miroslav Klose', 'club_shirt_name': 'Klose', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 86, 'second': 10}, 'international_name': 'Semih Şentürk', 'club_shirt_name': 'Semih', 'country_code': 'TUR', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 90, 'second': 30}, 'international_name': 'Philipp Lahm', 'club_shirt_name': 'Lahm', 'country_code': 'GER', 'national_field_position': 'DEFENDER', 'national_jersey_number': '16', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Stéphane Cuhat', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Cuhat', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Peter Fröjdfeldt', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Fröjdfeldt', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Massimo Busacca', 'role': 'REFEREE', 'name_short': 'Busacca', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Jaap Uilenberg', 'role': 'REFEREE_OBSERVER', 'name_short': 'Uilenberg', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Matthias Arnet', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Arnet', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Jānis Mežeckis', 'role': 'UEFA_DELEGATE', 'name_short': 'Mežeckis', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}]",Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park
Spain,Italy,ESP,ITA,0.0,0.0,4.0,2.0,0.0,0.0,Spain,WIN_ON_PENALTIES,2008,2008-06-22,2008-06-22T18:45:00Z,2.0,,MD4,46.0,DRY,31.0,SUNNY,53.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,51178.0,62085,AUT,49898.0,48.2071889,16.4205083,105.0,68.0,,,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'David Villa', 'club_shirt_name': 'Villa', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': '7', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Fabio Grosso', 'club_shirt_name': '', 'country_code': 'ITA', 'national_field_position': 'DEFENDER', 'national_jersey_number': '3', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Santi Cazorla', 'club_shirt_name': 'S. Cazorla', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '20', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Daniele De Rossi', 'club_shirt_name': 'De Rossi', 'country_code': 'ITA', 'national_field_position': '', 'national_jersey_number': '16', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Marcos Senna', 'club_shirt_name': 'Marcos Senna', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '19', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Mauro Camoranesi', 'club_shirt_name': 'Camoranesi', 'country_code': 'ITA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '16', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Daniel Güiza', 'club_shirt_name': 'González Güiza', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Antonio Di Natale', 'club_shirt_name': 'Di Natale', 'country_code': 'ITA', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Cesc Fàbregas', 'club_shirt_name': 'FÀBREGAS', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'penalty_type': 'SCORED'}]",,"[{'name': 'Volker Wezel', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Wezel', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'František Laurinec', 'role': 'UEFA_DELEGATE', 'name_short': 'Laurinec', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Sergey Zuev', 'role': 'REFEREE_OBSERVER', 'name_short': 'Zuev', 'gender': 'MALE', 'counrty_code': 'RUS', 'counrty': 'Russia'}, {'name': 'Frank De Bleeckere', 'role': 'FOURTH_OFFICIAL', 'name_short': 'De Bleeckere', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Carsten Kadach', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Kadach', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}, {'name': 'Herbert Fandel', 'role': 'REFEREE', 'name_short': 'Fandel', 'gender': 'MALE', 'counrty_code': 'GER', 'counrty': 'Germany'}]",Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion
Netherlands,Russia,NED,RUS,1.0,1.0,,,1.0,3.0,Russia,WIN_ON_EXTRA_TIME,2008,2008-06-21,2008-06-21T18:45:00Z,2.0,,MD4,48.0,DRY,28.0,SUNNY,15.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,38374.0,63171,SUI,36000.0,47.5416361,7.620125,105.0,68.0,"[{'phase': 'SECOND_HALF', 'time': {'minute': 56, 'second': 32}, 'international_name': 'Roman Pavlyuchenko', 'club_shirt_name': 'Pavlyuchenko', 'country_code': 'RUS', 'national_field_position': 'FORWARD', 'national_jersey_number': '14', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 86, 'second': 38}, 'international_name': 'Ruud van Nistelrooy', 'club_shirt_name': '', 'country_code': 'NED', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 112, 'second': 40}, 'international_name': 'Dmitri Torbinski', 'club_shirt_name': 'Torbinskiy', 'country_code': 'RUS', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '20', 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 116, 'second': 46}, 'international_name': 'Andrey Arshavin', 'club_shirt_name': 'Arshavin', 'country_code': 'RUS', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Martin Balko', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Balko', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Massimo Busacca', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Busacca', 'gender': 'MALE', 'counrty_code': 'SUI', 'counrty': 'Switzerland'}, {'name': 'Lubos Michel', 'role': 'REFEREE', 'name_short': 'Michel', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Vladimir Šajn', 'role': 'REFEREE_OBSERVER', 'name_short': 'Šajn', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Jānis Mežeckis', 'role': 'UEFA_DELEGATE', 'name_short': 'Mežeckis', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Roman Slyško', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Slyško', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}]",Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park
Croatia,Türki̇ye,CRO,TUR,0.0,0.0,1.0,3.0,1.0,1.0,Türki̇ye,WIN_ON_PENALTIES,2008,2008-06-20,2008-06-20T18:45:00Z,2.0,,MD4,39.0,DRY,28.0,SUNNY,65.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,51428.0,62085,AUT,49898.0,48.2071889,16.4205083,105.0,68.0,"[{'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'minute': 119, 'second': 41}, 'international_name': 'Ivan Klasnić', 'club_shirt_name': 'Klasnić', 'country_code': 'CRO', 'national_field_position': 'FORWARD', 'national_jersey_number': '15', 'goal_type': 'SCORED'}, {'phase': 'EXTRA_TIME_SECOND_HALF', 'time': {'injuryMinute': 2, 'minute': 120, 'second': 2}, 'international_name': 'Semih Şentürk', 'club_shirt_name': 'Semih', 'country_code': 'TUR', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'goal_type': 'SCORED'}]",,"[{'phase': 'PENALTY', 'time': {}, 'international_name': 'Luka Modrić', 'club_shirt_name': 'MODRIĆ', 'country_code': 'CRO', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '10', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Arda Turan', 'club_shirt_name': 'Arda', 'country_code': 'TUR', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Darijo Srna', 'club_shirt_name': '', 'country_code': 'CRO', 'national_field_position': 'DEFENDER', 'national_jersey_number': '11', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Semih Şentürk', 'club_shirt_name': 'Semih', 'country_code': 'TUR', 'national_field_position': 'FORWARD', 'national_jersey_number': '9', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Ivan Rakitić', 'club_shirt_name': 'I. Rakitić', 'country_code': 'CRO', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '7', 'penalty_type': 'MISSED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Hamit Altıntop', 'club_shirt_name': 'Altıntop', 'country_code': 'TUR', 'national_field_position': '', 'national_jersey_number': '42', 'penalty_type': 'SCORED'}, {'phase': 'PENALTY', 'time': {}, 'international_name': 'Mladen Petrić', 'club_shirt_name': 'PETRIC', 'country_code': 'SUI', 'national_field_position': 'FORWARD', 'national_jersey_number': '21', 'penalty_type': 'MISSED'}]",,"[{'name': 'Alessandro Griselli', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Griselli', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Paolo Calcagno', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Calcagno', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Roberto Rosetti', 'role': 'REFEREE', 'name_short': 'Rosetti', 'gender': 'MALE', 'counrty_code': 'ITA', 'counrty': 'Italy'}, {'name': 'Manuel Mejuto González', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Mejuto González', 'gender': 'MALE', 'counrty_code': 'ESP', 'counrty': 'Spain'}, {'name': 'Jozef Marko', 'role': 'REFEREE_OBSERVER', 'name_short': 'Marko', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Trygve Bornø', 'role': 'UEFA_DELEGATE', 'name_short': 'Bornø', 'gender': 'MALE', 'counrty_code': 'NOR', 'counrty': 'Norway'}]",Vienna,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion,Ernst-Happel-Stadion
Portugal,Germany,POR,GER,2.0,3.0,,,2.0,3.0,Germany,WIN_REGULAR,2008,2008-06-19,2008-06-19T18:45:00Z,2.0,,MD4,53.0,DRY,22.0,SUNNY,49.0,FINISHED,SINGLE,QUARTER_FINALS,KNOCK_OUT,39374.0,63171,SUI,36000.0,47.5416361,7.620125,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 22, 'second': 32}, 'international_name': 'Bastian Schweinsteiger', 'club_shirt_name': 'SCHWEINSTEIGER', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '7', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 26, 'second': 54}, 'international_name': 'Miroslav Klose', 'club_shirt_name': 'Klose', 'country_code': 'GER', 'national_field_position': 'FORWARD', 'national_jersey_number': '11', 'goal_type': 'SCORED'}, {'phase': 'FIRST_HALF', 'time': {'minute': 40, 'second': 56}, 'international_name': 'Nuno Gomes', 'club_shirt_name': '', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '21', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 61, 'second': 58}, 'international_name': 'Michael Ballack', 'club_shirt_name': 'Ballack', 'country_code': 'GER', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '13', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 87, 'second': 44}, 'international_name': 'Hélder Postiga', 'club_shirt_name': 'H. Postiga', 'country_code': 'POR', 'national_field_position': 'FORWARD', 'national_jersey_number': '23', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Marc Batta', 'role': 'REFEREE_OBSERVER', 'name_short': 'Batta', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}, {'name': 'Peter Fröjdfeldt', 'role': 'REFEREE', 'name_short': 'Fröjdfeldt', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Dane Jošt', 'role': 'UEFA_DELEGATE', 'name_short': 'Jošt', 'gender': 'MALE', 'counrty_code': 'SVN', 'counrty': 'Slovenia'}, {'name': 'Henrik Andren', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Andren', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Stefan Wittberg', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Wittberg', 'gender': 'MALE', 'counrty_code': 'SWE', 'counrty': 'Sweden'}, {'name': 'Kyros Vassaras', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Vassaras', 'gender': 'MALE', 'counrty_code': 'GRE', 'counrty': 'Greece'}]",Basel,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park,St. Jakob-Park
Russia,Sweden,RUS,SWE,2.0,0.0,,,2.0,0.0,Russia,WIN_REGULAR,2008,2008-06-18,2008-06-18T18:45:00Z,2.0,Group D,MD3,48.0,DRY,23.0,SUNNY,10.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,30772.0,77473,AUT,14932.0,47.2560139,11.4111694,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 24, 'second': 35}, 'international_name': 'Roman Pavlyuchenko', 'club_shirt_name': 'Pavlyuchenko', 'country_code': 'RUS', 'national_field_position': 'FORWARD', 'national_jersey_number': '14', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 50, 'second': 54}, 'international_name': 'Andrey Arshavin', 'club_shirt_name': 'Arshavin', 'country_code': 'RUS', 'national_field_position': 'FORWARD', 'national_jersey_number': '10', 'goal_type': 'SCORED'}]",,,,"[{'name': 'Liutauras Varanavičius', 'role': 'UEFA_DELEGATE', 'name_short': 'Varanavičius', 'gender': 'MALE', 'counrty_code': 'LTU', 'counrty': 'Lithuania'}, {'name': 'Peter Hermans', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Hermans', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Jaap Uilenberg', 'role': 'REFEREE_OBSERVER', 'name_short': 'Uilenberg', 'gender': 'MALE', 'counrty_code': 'NED', 'counrty': 'Netherlands'}, {'name': 'Frank De Bleeckere', 'role': 'REFEREE', 'name_short': 'De Bleeckere', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}, {'name': 'Kristinn Jakobsson', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Jakobsson', 'gender': 'MALE', 'counrty_code': 'ISL', 'counrty': 'Iceland'}, {'name': 'Alex Verstraeten', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Verstraeten', 'gender': 'MALE', 'counrty_code': 'BEL', 'counrty': 'Belgium'}]",Innsbruck,Tivoli Stadion Tirol,Tivoli Neu,Tivoli Stadion Tirol,Tivoli Stadion Tirol,Tivoli Stadion Tirol
Greece,Spain,GRE,ESP,1.0,2.0,,,1.0,2.0,Spain,WIN_REGULAR,2008,2008-06-18,2008-06-18T18:45:00Z,2.0,Group D,MD3,49.0,DRY,20.0,PARTLY_CLOUDY,22.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,30883.0,83487,AUT,30071.0,47.8162861,12.9981972,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 42, 'second': 16}, 'international_name': 'Angelos Charisteas', 'club_shirt_name': 'Charisteas', 'country_code': 'GRE', 'national_field_position': '', 'national_jersey_number': '9', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 61, 'second': 42}, 'international_name': 'Rubén de la Red', 'club_shirt_name': 'De la Red', 'country_code': 'ESP', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '22', 'goal_type': 'SCORED'}, {'phase': 'SECOND_HALF', 'time': {'minute': 88, 'second': 40}, 'international_name': 'Daniel Güiza', 'club_shirt_name': 'González Güiza', 'country_code': 'ESP', 'national_field_position': 'FORWARD', 'national_jersey_number': None, 'goal_type': 'SCORED'}]",,,,"[{'name': 'Darren Cann', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Cann', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Michael Mullarkey', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Mullarkey', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Dennis Cruise', 'role': 'UEFA_DELEGATE', 'name_short': 'Cruise', 'gender': 'MALE', 'counrty_code': 'IRL', 'counrty': 'Republic of Ireland'}, {'name': 'Sergey Zuev', 'role': 'REFEREE_OBSERVER', 'name_short': 'Zuev', 'gender': 'MALE', 'counrty_code': 'RUS', 'counrty': 'Russia'}, {'name': 'Howard Webb', 'role': 'REFEREE', 'name_short': 'Webb', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}, {'name': 'Stéphane Lannoy', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Lannoy', 'gender': 'MALE', 'counrty_code': 'FRA', 'counrty': 'France'}]",Salzburg,Stadion Salzburg,Stadion Salzburg,Stadion Salzburg,Stadion Salzburg,Red Bull Arena
France,Italy,FRA,ITA,0.0,2.0,,,0.0,2.0,Italy,WIN_REGULAR,2008,2008-06-17,2008-06-17T18:45:00Z,2.0,Group C,MD3,77.0,DRY,16.0,RAIN,28.0,FINISHED,GROUP_STAGE,GROUP_STANDINGS,GROUP,30585.0,63175,SUI,24056.0,47.3828028,8.5037194,105.0,68.0,"[{'phase': 'FIRST_HALF', 'time': {'minute': 25, 'second': 50}, 'international_name': 'Andrea Pirlo', 'club_shirt_name': 'Pirlo', 'country_code': 'ITA', 'national_field_position': 'MIDFIELDER', 'national_jersey_number': '21', 'goal_type': 'PENALTY'}, {'phase': 'SECOND_HALF', 'time': {'minute': 62, 'second': 40}, 'international_name': 'Daniele De Rossi', 'club_shirt_name': 'De Rossi', 'country_code': 'ITA', 'national_field_position': '', 'national_jersey_number': '16', 'goal_type': 'SCORED'}]",,,"[{'phase': 'FIRST_HALF', 'time': {'minute': 24, 'second': 50}, 'international_name': 'Éric Abidal', 'club_shirt_name': 'Abidal', 'country_code': 'FRA', 'national_field_position': 'DEFENDER', 'national_jersey_number': '22'}]","[{'name': 'Viktor Kassai', 'role': 'FOURTH_OFFICIAL', 'name_short': 'Kassai', 'gender': 'MALE', 'counrty_code': 'HUN', 'counrty': 'Hungary'}, {'name': 'Martin Balko', 'role': 'ASSISTANT_REFEREE_TWO', 'name_short': 'Balko', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Jānis Mežeckis', 'role': 'UEFA_DELEGATE', 'name_short': 'Mežeckis', 'gender': 'MALE', 'counrty_code': 'LVA', 'counrty': 'Latvia'}, {'name': 'Lubos Michel', 'role': 'REFEREE', 'name_short': 'Michel', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'Roman Slyško', 'role': 'ASSISTANT_REFEREE_ONE', 'name_short': 'Slyško', 'gender': 'MALE', 'counrty_code': 'SVK', 'counrty': 'Slovakia'}, {'name': 'David R. Elleray', 'role': 'REFEREE_OBSERVER', 'name_short': 'Elleray', 'gender': 'MALE', 'counrty_code': 'ENG', 'counrty': 'England'}]",Zurich,Stadion Letzigrund,Stadion Letzigrund,Stadion Letzigrund,Stadion Letzigrund,Stadion Letzigrund 
