match_id,team,formation,opposing_team_formation,shot,pass,under_pressure,score,counterpress,formation_play_duration,formation_play_duration_ratio,shot_mean,pass_mean,under_pressure_mean,counterpress_mean,home_or_away,goals
3813294,NorthEast United,433,4231,11,439,318,0,44,0 days 00:48:13.428000,2.02177624603066,22.239538706337257,887.5597720074596,642.9248462377499,88.95815482534903,1,2
3813294,NorthEast United,442,4231,1,4,4,0,0,0 days 00:49:16.436000,1.9786878525359586,1.9786878525359586,7.914751410143834,7.914751410143834,0.0,1,2
3813295,Hyderabad,4231,4141,11,466,331,5,54,0 days 01:36:20.979000,1.0,11.0,466.0,331.0,54.0,1,5
3813295,Odisha,4141,4231,10,364,258,0,51,0 days 01:36:20.979000,1.0,10.0,364.0,258.0,51.0,0,5
3813296,Kerala Blasters,4231,442,13,417,338,0,71,0 days 01:37:38.482000,1.0,13.0,417.0,338.0,71.0,0,0
3813296,NorthEast United,442,4231,7,354,348,0,50,0 days 01:37:38.482000,1.0,7.0,354.0,348.0,50.0,1,0
3813297,Bengaluru,4231,4231,11,560,260,3,71,0 days 01:38:49.151000,1.0,11.0,560.0,260.0,71.0,1,5
3813297,NorthEast United,4231,4231,12,270,252,2,45,0 days 01:38:49.151000,1.0,12.0,270.0,252.0,45.0,0,5
3813298,East Bengal,442,433,11,275,263,1,31,0 days 01:39:18.965000,1.0,11.0,275.0,263.0,31.0,1,2
3813298,Jamshedpur,433,442,18,473,281,1,47,0 days 01:39:18.965000,1.0,18.0,473.0,281.0,47.0,0,2
3813299,Bengaluru,433,4231,9,437,306,0,63,0 days 01:38:23.291000,1.0,9.0,437.0,306.0,63.0,0,1
3813299,Hyderabad,4231,433,10,351,369,1,38,0 days 01:30:20.394000,1.089088911248887,10.890889112488871,382.27020784835935,401.8738082508393,41.38537862745771,1,1
3813300,Kerala Blasters,442,4231,11,471,268,2,51,0 days 01:38:04.465000,1.0,11.0,471.0,268.0,51.0,1,3
3813300,Odisha,4231,442,18,396,331,1,50,0 days 01:38:04.465000,1.0,18.0,396.0,331.0,50.0,0,3
3813301,NorthEast United,433,4231,21,327,255,0,58,0 days 01:40:22.972000,1.0,21.0,327.0,255.0,58.0,0,1
3813301,Odisha,4231,433,9,518,302,1,42,0 days 01:40:22.972000,1.0,9.0,518.0,302.0,42.0,1,1
3813302,Jamshedpur,4411,4231,21,420,253,3,53,0 days 01:38:24.871000,1.0,21.0,420.0,253.0,53.0,1,5
3813302,NorthEast United,4231,4411,8,479,395,2,56,0 days 01:24:59.294000,1.157978143641061,9.263825149128488,554.6715308040682,457.4013667382191,64.84677604389941,0,5
3813303,ATK Mohun Bagan,4231,3412,7,439,314,2,61,0 days 01:40:41.451000,1.0,7.0,439.0,314.0,61.0,1,3
3813303,Goa,3412,4231,15,514,406,1,58,0 days 01:40:41.451000,1.0,15.0,514.0,406.0,58.0,0,3
3813304,East Bengal,4141,4231,7,281,270,1,55,0 days 01:25:58.673000,1.1978743370630394,8.385120359441276,336.6026887147141,323.42607100702065,65.88308853846716,0,2
3813304,Hyderabad,4231,4141,13,532,309,1,67,0 days 01:42:59.442000,1.0,13.0,532.0,309.0,67.0,1,2
3813305,Hyderabad,4231,442,15,435,396,0,43,0 days 01:17:54.026000,1.3543628127015126,20.31544219052269,589.147823525158,536.327673829799,58.23760094616504,0,1
3813305,Kerala Blasters,442,4231,12,322,282,1,58,0 days 01:45:30.327000,1.0,12.0,322.0,282.0,58.0,1,1
3813306,ATK Mohun Bagan,4231,442,26,506,423,3,68,0 days 01:39:23.672000,1.0,26.0,506.0,423.0,68.0,0,5
3813306,NorthEast United,442,4231,18,372,335,2,91,0 days 01:39:23.672000,1.0,18.0,372.0,335.0,91.0,1,5
3813307,Bengaluru,4231,4231,8,425,242,0,55,0 days 01:36:30.743000,1.0,8.0,425.0,242.0,55.0,0,0
3813307,Jamshedpur,4231,4231,13,263,241,0,35,0 days 01:36:30.743000,1.0,13.0,263.0,241.0,35.0,1,0
3813308,Goa,3412,4141,11,548,381,1,59,0 days 01:40:14.877000,1.0,11.0,548.0,381.0,59.0,0,2
3813308,Odisha,4141,3412,13,404,273,1,71,0 days 01:40:14.877000,1.0,13.0,404.0,273.0,71.0,1,2
3813309,Chennaiyin,4141,442,7,290,256,1,37,0 days 01:38:15.219000,1.0,7.0,290.0,256.0,37.0,0,1
3813309,Hyderabad,442,4141,14,528,277,0,57,0 days 01:38:15.219000,1.0,14.0,528.0,277.0,57.0,1,1
3813310,East Bengal,433,442,12,252,222,1,29,0 days 01:39:33.246000,1.0,12.0,252.0,222.0,29.0,1,2
3813310,Kerala Blasters,442,433,10,558,302,1,48,0 days 01:39:33.246000,1.0,10.0,558.0,302.0,48.0,0,2
3813311,Chennaiyin,352,4231,7,334,256,1,57,0 days 01:19:35.246000,1.2259875198052623,8.581912638636837,409.4798316149576,313.85280507014716,69.88128862889995,0,1
3813311,Jamshedpur,4231,352,20,475,366,0,39,0 days 01:37:34.392000,1.0,20.0,475.0,366.0,39.0,1,1
3813312,ATK Mohun Bagan,343,4231,10,325,182,1,41,0 days 00:49:14.251000,1.9973786926026256,19.973786926026257,649.1480750958533,363.52292205367786,81.89252639670765,1,6
3813312,Mumbai City,4231,343,18,523,257,5,34,0 days 00:49:14.251000,1.9973786926026256,35.95281646684726,1044.629056231173,513.3263239988747,67.91087554848927,0,6
3813313,ATK Mohun Bagan,4231,4231,17,512,271,0,52,0 days 01:36:36.235000,1.0,17.0,512.0,271.0,52.0,1,0
3813313,Odisha,4231,4231,13,402,304,0,44,0 days 01:36:36.235000,1.0,13.0,402.0,304.0,44.0,0,0
3813314,ATK Mohun Bagan,3412,442,10,309,329,4,63,0 days 01:38:44.572000,1.0,10.0,309.0,329.0,63.0,1,6
3813314,Kerala Blasters,442,3412,14,499,322,2,59,0 days 01:15:53.055000,1.3012300532279975,18.217220745191966,649.3137965607707,418.9960771394152,76.77257314045185,0,6
3813315,Goa,4231,442,10,553,273,1,68,0 days 01:37:28,1.0,10.0,553.0,273.0,68.0,1,4
3813315,Jamshedpur,442,4231,15,189,215,3,27,0 days 01:37:28,1.0,15.0,189.0,215.0,27.0,0,4
3813316,Goa,4231,433,21,586,371,1,84,0 days 01:38:42.456000,1.0,21.0,586.0,371.0,84.0,0,3
3813316,NorthEast United,433,4231,10,296,297,2,62,0 days 01:38:42.456000,1.0,10.0,296.0,297.0,62.0,1,3
3813317,East Bengal,442,4231,16,400,243,4,47,0 days 01:40:06.428000,1.0,16.0,400.0,243.0,47.0,0,10
3813317,Odisha,4231,442,13,450,316,6,52,0 days 01:40:06.428000,1.0,13.0,450.0,316.0,52.0,1,10
3813318,Mumbai City,4231,433,20,522,385,3,78,0 days 01:39:02.940000,1.0,20.0,522.0,385.0,78.0,0,6
3813318,NorthEast United,433,4231,16,282,319,3,69,0 days 01:34:46.027000,1.0451832184405736,16.722931495049178,294.7416676002418,333.413446682543,72.11764207239958,1,6
3817848,ATK Mohun Bagan,3412,4231,15,277,296,2,36,0 days 01:04:11.393000,1.6077884027934828,24.116826041902243,445.3573875737947,475.9053672268709,57.88038250056538,0,2
3817848,Goa,4231,3412,16,621,285,0,79,0 days 01:43:12.225000,1.0,16.0,621.0,285.0,79.0,1,2
3817849,Bengaluru,433,4231,19,381,275,3,58,0 days 01:40:30.090000,1.0,19.0,381.0,275.0,58.0,0,3
3817849,Mumbai City,4231,433,12,456,354,0,62,0 days 01:30:34.178000,1.1096600074565095,13.315920089478114,506.0049634001683,392.81964263960435,68.79892046230358,1,3
3817850,East Bengal,4141,4231,7,278,264,0,50,0 days 01:36:45.639000,1.0,7.0,278.0,264.0,50.0,0,1
3817850,Jamshedpur,4231,4141,14,445,330,1,36,0 days 01:36:45.639000,1.0,14.0,445.0,330.0,36.0,1,1
3817851,Kerala Blasters,442,433,16,493,323,2,74,0 days 01:38:42.125000,1.0,16.0,493.0,323.0,74.0,0,2
3817851,Odisha,433,442,10,454,389,0,69,0 days 01:38:42.125000,1.0,10.0,454.0,389.0,69.0,1,2
3817852,Chennaiyin,352,4231,9,346,307,0,47,0 days 01:33:19.920000,1.066295589936999,9.596660309432991,368.93827411820166,327.3527461106587,50.115892727038954,1,1
3817852,Mumbai City,4231,352,14,465,288,1,46,0 days 01:39:31.170000,1.0,14.0,465.0,288.0,46.0,0,1
3817853,East Bengal,352,3412,0,4,6,0,0,0 days 00:54:21.345000,1.9441638342463003,0.0,7.776655336985201,11.664983005477803,0.0,0,3
3817853,East Bengal,433,3412,4,259,300,2,53,0 days 00:51:19.244000,2.0591382170428845,8.236552868171538,533.316798214107,617.7414651128653,109.13432550327288,0,3
3817853,Goa,3412,352,0,7,4,0,1,0 days 01:45:40.589000,1.0,0.0,7.0,4.0,1.0,1,3
3817853,Goa,3412,433,19,636,331,1,74,0 days 01:45:40.589000,1.0,19.0,636.0,331.0,74.0,1,3
3817854,ATK Mohun Bagan,3412,433,10,375,256,2,34,0 days 01:16:03.085000,1.2982773715589342,12.982773715589342,486.8540143346003,332.35900711908715,44.141430633003765,1,2
3817854,ATK Mohun Bagan,442,451,0,9,10,0,3,0 days 00:22:41.065000,4.35258418958683,0.0,39.17325770628147,43.5258418958683,13.05775256876049,1,2
3817854,Bengaluru,433,3412,13,450,171,0,53,0 days 00:47:29.691000,2.078874516570393,27.02536871541511,935.4935324566768,355.4875423335372,110.18034937823083,0,2
3817854,Bengaluru,451,442,2,21,13,0,2,0 days 00:51:14.459000,1.9268918531683135,3.853783706336627,40.46472891653458,25.049594091188077,3.853783706336627,0,2
3817855,ATK Mohun Bagan,4231,442,14,487,369,2,65,0 days 01:35:23.388000,1.0709696774008681,14.993575483612155,521.5622328942228,395.18781096092033,69.61302903105643,0,4
3817855,Kerala Blasters,442,4231,15,328,373,2,43,0 days 01:35:23.388000,1.0709696774008681,16.064545161013022,351.27805418748477,399.4716896705238,46.05169612823733,1,4
3817856,ATK Mohun Bagan,4231,4231,18,531,386,0,61,0 days 01:05:53.152000,1.5324500550446833,27.584100990804302,813.7309792287268,591.5257212472478,93.47945335772569,1,1
3817856,Jamshedpur,4231,4231,8,269,295,1,54,0 days 01:27:35.761000,1.1526414538256209,9.221131630604967,310.060551079092,340.0292288785582,62.242638506583525,0,1
3817857,Hyderabad,4231,4231,9,433,338,0,59,0 days 01:09:26.034000,1.4268981002075356,12.84208290186782,617.8468773898629,482.291557870147,84.1869879122446,1,2
3817857,Jamshedpur,4231,4231,16,306,333,2,48,0 days 01:09:26.034000,1.4268981002075356,22.83036960332057,436.6308186635059,475.15706736910937,68.4911088099617,0,2
3817858,Chennaiyin,4141,442,8,396,279,0,42,0 days 01:03:26.576000,1.5476898398981132,12.381518719184905,612.8851765996528,431.80546533157354,65.00297327572075,0,3
3817858,Kerala Blasters,442,4141,16,536,332,3,37,0 days 01:33:02.962000,1.0552461220405942,16.883937952649507,565.6119214137585,350.3417125174773,39.04410651550199,1,3
3817859,Jamshedpur,4231,4321,15,327,246,3,48,0 days 01:40:21.518000,1.0,15.0,327.0,246.0,48.0,0,5
3817859,NorthEast United,4321,4231,11,426,390,2,46,0 days 01:40:21.518000,1.0,11.0,426.0,390.0,46.0,1,5
3817860,Hyderabad,4231,4231,20,446,378,3,61,0 days 01:38:43.257000,1.0,20.0,446.0,378.0,61.0,0,5
