matchid,hometeamname,awayteamname,teamid,teamname,ishometeam,isawayteam,statsid,statsname,value,rank,Location
2024442,Austria,North Macedonia,8,Austria,True,False,83,Corners completed medium,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,84,Corners completed long,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,85,Dribbling,3.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,86,Passes attempted,595.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,87,Passes attempted short,142.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,88,Passes attempted medium,377.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,89,Passes attempted long,76.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,90,Passes completed short,107.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,91,Passes completed medium,330.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,92,Passes completed long,47.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,93,Passes received,484.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,94,Passes received short,107.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,95,Passes received medium,330.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,96,Passes received long,47.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,97,Passes accuracy short,0.754,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,98,Passes accuracy medium,0.875,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,99,Passes accuracy long,0.618,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,102,Passes completed forward,112.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,103,Passes completed backward,97.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,104,Passes completed left,139.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,105,Passes completed right,136.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,106,Passes per instance of possession,2.917,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,107,Delivery into attacking third,54.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,108,Delivery into key play area,31.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,109,Delivery into penalty area,18.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,110,Delivery into goal area,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,115,Solo run into attacking third,16.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,116,Solo run into key play area,8.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,117,Solo run into penalty area,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,118,Total Attacks,47.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,119,Attacks from centre,13.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,120,Attacks from right,13.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,121,Attacks from left,21.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,122,Organized attack,30.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,123,Counter attack,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,124,Clearances successful,5.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,125,Clearances unsuccesful,2.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,126,Tackles,11.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,127,Tackles lost,4.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,128,Tackles performed gaining the ball,5.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,129,Tackles performed not gaining the ball,6.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,130,Tackles suffered,6.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,131,Tackles suffered losing the ball,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,132,Tackles suffered not losing the ball,5.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,133,Lost balls,73.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,136,Lost balls own half,32.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,137,Lost balls opposite half,41.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,138,Change of possession,186.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,140,Blocks,2.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,141,Throw-in,34.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,142,Goals conceded from open play,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,143,Goals conceded from set pieces,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,144,Goals conceded in penalty area,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,145,Goals conceded outside penalty area,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,146,Saves in open play,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,147,Saves on set pieces,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,148,Saves on direct free kick,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,149,Saves on indirect free kick,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,150,Saves on penalty,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,151,Saves on corner,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,152,Saves in open play from centre,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,153,Saves in open play from left,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,154,Saves in open play from right,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,155,Punches,0.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,156,High Claims,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,157,Low Claims,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,158,Goalkeeper kicks attempted,5.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,159,Goalkeeper kicks short,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,160,Goalkeeper kicks medium,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,161,Goalkeeper kicks long,4.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,162,Goalkeeper kicks completed,3.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,163,Goalkeeper kicks completed short,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,164,Goalkeeper kicks completed medium,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,165,Goalkeeper kicks completed long,2.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,166,Goalkeeper kicks completed %,60.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,168,Fouls suffered,16.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,171,Fouls committed own half,4.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,172,Fouls committed opposite half,9.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,173,Fouls suffered own half,13.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,174,Fouls suffered opposite half,3.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,175,Penalty fouls,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,176,Handball,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,177,Simulation,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,181,Offsides suffered,0.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,182,Distance covered in low activity (m),61860.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,183,Distance covered in medium activity (m),19817.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,184,Distance covered in high activity (m),20458.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,185,Distance covered in very high activity (m),8038.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,186,Distance covered in low activity (%),56.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,187,Distance covered in medium activity (%),18.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,188,Distance covered in high activity (%),19.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,189,Distance covered in very high activity (%),7.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,190,Average distance covered,10465.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,191,Average distance covered in low activity,5695.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,192,Average distance covered in medium activity,1946.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,193,Average distance covered in high activity,2022.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,194,Average distance covered in very high activity covered,802.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,195,Time spent in low activity (%),82.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,196,Time spent in medium activity (%),9.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,197,Time spent in high activity (%),7.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,198,Time spent in very high activity (%),2.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,206,Sprints,358.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,219,Assists,3.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,220,Distance covered (Km),110.17,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,221,Distance covered in possession (Km),46.94,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,638,Matches played,1.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,639,Goals on set pieces,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,644,Attempts blocked outside penalty area,2.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,646,Distance covered not in possession (m),33790.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,647,Distance covered not in possession (Km),33.79,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,648,Attempts set pieces,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,649,Attempts in open play,11.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,650,Attempts on throw in,0.0,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,651,Saves on attempts inside penalty area,1.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,652,Saves on attempts outside penalty area,0.0,2,Home
2024442,Austria,North Macedonia,8,Austria,True,False,682,Team average speed,6.7,1,Home
2024442,Austria,North Macedonia,8,Austria,True,False,683,Big Chances,1.0,1,Home
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,1,Goals,1.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,2,Ball Possession,40.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,3,Total Attempts,7.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,4,Attempts on target,2.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,5,Attempts off target,3.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,6,Attempts against woodwork,0.0,1,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,11,Attempts Accuracy,29.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,12,Corners,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,13,Offsides,0.0,2,Away
2024442,Austria,North Macedonia,59205,North Macedonia,False,True,14,Saves,4.0,1,Away
